Deltai (deg),c HBM 0,c HBM 1,c HBM 2,c HBM 3,c HBM 4,c HBM 5,c HBM 6,c HBM 7,c HBM 8,c HBM 9,c HBM 10,c HBM 11,c HBM 12,c HBM 13,c HBM 14,c HBM 15,c HBM 16,c HBM 17,c HBM 18,c HBM 19,c HBM 20,c HBM 21,c HBM 22,c HBM 23,c HBM 24,c HBM 25,c HBM 26,c HBM 27,c HBM 28,c HBM 29,c HBM 30,c HBM 31,c HBM 32,c HBM 33,c HBM 34,c HBM 35,c HBM 36,c HBM 37,c HBM 38,c HBM 39,c HBM 40,c HBM 41,c HBM 42,c HBM 43,c HBM 44,c HBM 45,c HBM 46,c HBM 47,c HBM 48,c HBM 49,c HBM 50,c HBM 51,c HBM 52,c HBM 53,c HBM 54,c HBM 55,c HBM 56,c HBM 57,c HBM 58,c HBM 59,c HBM 60,c HBM 61,c HBM 62,c HBM 63,c HBM 64,c HBM 65,c HBM 66,c HBM 67,c HBM 68,c HBM 69,c HBM 70,c HBM 71,c HBM 72,c HBM 73,c HBM 74,c HBM 75,c HBM 76,c HBM 77,c HBM 78,c HBM 79,c HBM 80,c HBM 81,c HBM 82,c HBM 83,c HBM 84,c HBM 85,c HBM 86,c HBM 87,c HBM 88,c HBM 89,c HBM 90,c HBM 91,c HBM 92,c HBM 93,c HBM 94,c HBM 95,c HBM 96,c HBM 97,c HBM 98,c HBM 99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0033718534781655824,0.003390857837216438,0.0033556423752950505,0.003355739825441255,0.0031658897968320832,0.003283255781524816,0.0034349273290444522,0.0033564623545363115,0.0033182811220966247,0.00335700420309139,0.0033429258277542107,0.0034004147103125033,0.0032313165991084574,0.0033734754604894056,0.003343117696853508,0.003343920941676897,0.0035103209107314208,0.003349959361315513,0.0035432715311783923,0.003438847663421972,0.003333508931211754,0.003309920105802914,0.003549682586109196,0.003231958609584853,0.003349798010241924,0.0034501087273449923,0.003216735980022054,0.003498718794624029,0.003313654757297649,0.0032801758866106857,0.003405225334485126,0.0032366203047828465,0.0032899031917065563,0.003217051183878814,0.003344779256015578,0.0034231729613337617,0.003313710055821665,0.0032537612056556422,0.0032433219262161055,0.0035017343323031063,0.003422308319554698,0.0034949786790031173,0.003494507838476848,0.0033148717859544405,0.0032600601359504605,0.0033953220015720416,0.0033297632992780363,0.003362476251572471,0.003324586670427923,0.003356823603302239,0.0035082061759645618,0.003292027940958868,0.003393741103808653,0.003279348296775119,0.0031960094171856854,0.0032838541701551652,0.0033907571057785676,0.003413701742949043,0.0031463698359271135,0.0034041762829272897,0.0034040124421673684,0.0033842927181850168,0.003377032875107733,0.003306046841569026,0.003374670329173348,0.00334795088722282,0.0033266038678224107,0.0033798201010509037,0.00333916326896148,0.0033852746952117764,0.0034551875299823633,0.0032892550219077816,0.0032406115337206614,0.003473768435603602,0.003388829761954916,0.0032825179317895786,0.0032656597855935626,0.00336394819767501,0.0032619993768352087,0.003396451370517832,0.0034421580407841,0.0033420097831588697,0.0032421470763817997,0.003487221213380028,0.0034046813439657345,0.0032579660424107864,0.0032845436920057917,0.0034917762335554704,0.0033968775034648882,0.003287218857765122,0.003275795656672497,0.003344605308736078,0.003383775631663645,0.0034435056100031586,0.003335233411802477,0.0034426554281538125,0.0032973948447081675,0.0032184918703360497,0.0031433402651453767,0.00340438190649999
1.0,0.006726662446363641,0.006764478545937425,0.006694403693246851,0.006694597613324495,0.006316753239067346,0.006550350758322739,0.00685216670125176,0.006696035402976052,0.006620054894048987,0.006697113648141916,0.006669098265170697,0.006783495019778746,0.006446979522530946,0.006729890013641941,0.0066694800807097585,0.006671078520097332,0.007002169105813676,0.006683094779418037,0.007067722023719898,0.006859966983492346,0.006650358700326021,0.006603415920337062,0.00708047598407891,0.006448257324276672,0.006682773697432477,0.006882372846073721,0.0064179591955907484,0.006979086746269639,0.0066108481489313906,0.006544221265637587,0.006793067200835772,0.006457535519430306,0.006563580090811448,0.0064185865638188245,0.006672786544463608,0.006828778781121879,0.00661095819670958,0.006491650580081125,0.006470873675878546,0.006985086184140834,0.006827058368300506,0.006971645716583767,0.006970708967618713,0.00661327011561085,0.006504186945621767,0.006773361471261834,0.006642904842525209,0.0067080026374447665,0.006632603212496493,0.006696754265811105,0.006997961880233093,0.0065678086291448765,0.006770215761295004,0.006542574222183196,0.006376705281361313,0.006551541645896204,0.006764278106875813,0.006809933391645591,0.006277897994020367,0.00679097980371989,0.006790653793964372,0.006751414970876071,0.006736968851737937,0.006595707798163958,0.006732267666489637,0.006679097993207247,0.0066366174988708474,0.006742515078169527,0.006661610828715551,0.006753368962027618,0.0068924778907997995,0.0065622901425709335,0.00646547923052955,0.006929446749888679,0.00676044300251124,0.00654888231971992,0.0065153314770008,0.006710931690735337,0.006508046471091167,0.006775608713294284,0.006866553599516628,0.006667275353853263,0.006468535396122927,0.006956211960692685,0.006791984771853934,0.0065000192158961995,0.006552913901594449,0.006965274358430007,0.006776456640583773,0.006558237883944343,0.006535503845456285,0.006672440393845548,0.0067503860429076554,0.00686923483157158,0.006653790425711718,0.006867543242047667,0.006578489433139705,0.006421454040521219,0.006271867412668109,0.0067913889526524125
1.5,0.010047525912188906,0.010103770954215907,0.009999544355158322,0.009999832797055503,0.009437682776114495,0.009785256630696505,0.010234181878069943,0.01000197140153591,0.009888950754384269,0.010003575207955749,0.009961903779318514,0.010132053720980829,0.009631461413391872,0.010052326476777305,0.009962471720047803,0.009964849354276356,0.01045723379289976,0.009982723052647089,0.010554696962297964,0.010245781854914406,0.009934028824712348,0.00986419891018374,0.010573658434081609,0.009633362643259702,0.009982245459748648,0.010279101485246321,0.009588281499716933,0.010422913335952116,0.009875255026886827,0.00977613776218629,0.010146289949585458,0.009647167495300398,0.009804937715754858,0.009589214989962703,0.00996738998780712,0.01019940048476451,0.009875418732195482,0.009697925259952,0.009667012803653246,0.010431833813705119,0.010196841928678266,0.01041184928200456,0.01041045642423334,0.009878857900381594,0.009716576820686548,0.010116982410635916,0.009922941086488307,0.010019771616093277,0.009907617067362807,0.010003040654733954,0.010450978272114896,0.00981122838114451,0.010112303855113964,0.009773687437615036,0.009526896264873238,0.009787028310261124,0.010103472842158852,0.010171373776490359,0.009379859417578061,0.010143185482414696,0.010142700625881825,0.010084341403474757,0.010062855210976548,0.009852732266889336,0.010055862897436223,0.009976778025414725,0.009913588476312166,0.010071104344075052,0.00995076635601465,0.010087247609227397,0.010294128330509472,0.009803018693051401,0.0096589866649459,0.010349101741942401,0.010097768895232919,0.00978307203569635,0.009733157367201786,0.010024128285629813,0.009722318949639564,0.01012032468022461,0.010255576872023456,0.009959192242147811,0.009663533795120792,0.010388900525382966,0.010144680115463734,0.009710376119806534,0.009789069807285949,0.010402375637982318,0.010121585779832054,0.009796990232120498,0.009763168702811032,0.0099668750998893,0.01008281105774109,0.010259564133430574,0.009939133538516796,0.010257048571455877,0.00982711773234611,0.009593481631942036,0.009370884609702356,0.010143793987029198
2.0,0.013317828227492823,0.013391934073923088,0.013254606021013514,0.013254986093163943,0.012514007151053979,0.012972208588837894,0.01356373823665261,0.013257804070827472,0.013108870132944567,0.013259917355724076,0.013205006918447625,0.01342919624451785,0.012769486126126302,0.01332415342240748,0.013205755312291933,0.01320888839219499,0.013857526040325778,0.013232440815034035,0.013985872816731297,0.01357901881931663,0.013168274565356429,0.013076250487508084,0.014010840956491204,0.012771992426429695,0.013231811490728067,0.013622909396034244,0.012712562579579315,0.01381232673285534,0.013090821101239812,0.012960189752262262,0.013447951809854964,0.012790190531048105,0.012998148174551987,0.012713793219306798,0.01321223625131473,0.013517919635464006,0.013091036843428112,0.012857098851434852,0.012816350879037462,0.013824074989924256,0.013514549095351274,0.013797755214438857,0.01379592078700498,0.013095569207574622,0.012881684111022354,0.013409340149763062,0.01315366330539329,0.013281258622195164,0.013133469217109178,0.013259212992333711,0.013849287791785772,0.013006439115794672,0.013403176190712194,0.012956960157024851,0.012631634125746716,0.012974543679914342,0.013391541308518455,0.013480997800879536,0.012437761009915244,0.013443861846807471,0.013443223073886443,0.013366335167237543,0.013338025891764338,0.013061138646221142,0.01332881296566899,0.013224607025237171,0.013141338421208296,0.013348894677898735,0.013190330673234541,0.01337016420201562,0.013642703067444183,0.012995618937722001,0.012805770791572102,0.013715112147105944,0.013384026278460371,0.012969329264348031,0.012903539035640201,0.013286999135854509,0.012889252897039028,0.013413743541769876,0.013591921573653295,0.01320143383132112,0.012811764848835774,0.013767530755714468,0.01344583094472149,0.012873510816134814,0.012977234386919582,0.013785278135327454,0.013415405017747477,0.012987673498696707,0.012943096067481044,0.01321155777088793,0.013364318874141736,0.013597173859518833,0.013175001417711128,0.013593860196928617,0.013027380609531188,0.012719418005240724,0.012425926315575899,0.013444663519032861
2.5,0.016521377558940967,0.016612597895788502,0.0164435481172799,0.01644401602084934,0.015531406280310784,0.016095833279757537,0.01682404905363088,0.016447485202495872,0.016264118505105035,0.016450086837001398,0.016382485293018112,0.016658462632614956,0.015846150787055265,0.016529163846190777,0.016383406687793096,0.016387264010897348,0.0171855347739466,0.0164162603603941,0.017343417413660047,0.016842853843995403,0.016337260784550542,0.01622395308089506,0.017374128584017132,0.015849238026857778,0.01641548558398223,0.016896865158378627,0.015776030391939914,0.017129928269653018,0.01624189444964622,0.016081031974329692,0.016681547458663182,0.015871654027914735,0.01612777740094731,0.01577754638609778,0.01639138574591279,0.01676766114050683,0.016242160099165345,0.01595406602055511,0.01590387689583794,0.017144381862302074,0.016763512973193607,0.01711200100989767,0.017109744102009723,0.01624774091303788,0.01598434643119871,0.01663402269197783,0.01631927100353648,0.016476359399592747,0.016294406983792323,0.016449219706125652,0.01717539987906388,0.016137987336848784,0.016626435646256484,0.016077054663109238,0.01567633185753069,0.016098708941196537,0.01661211444352117,0.016722220064150212,0.015437454426870023,0.016676513471719234,0.01667572725838396,0.016581087908436227,0.016546240592439594,0.016205344952926665,0.01653489968650136,0.01640661595099419,0.01630409603042543,0.016559619667064818,0.016364416279827886,0.016585801171527716,0.016921222143846937,0.016124662735282246,0.01589084504918243,0.017010319873411072,0.01660286420107593,0.016092287384762385,0.01601126329359958,0.01648342625307697,0.015993668343036817,0.01663944267101605,0.01685873213683652,0.016378086229348922,0.015898228149333782,0.017074815041945395,0.016678937069546727,0.015974279897628556,0.016102022533381118,0.017096650282887656,0.0166414877155716,0.016114878148059793,0.01605998058776494,0.01639055043234524,0.016578605989872586,0.016865195597261365,0.016345542964433735,0.016861117810346098,0.01616377543876442,0.01578447539068355,0.015422870752636922,0.01667750018364665
3.0,0.019642539387887757,0.019749959101423926,0.01955087946837602,0.019551430544629326,0.018476022264725913,0.019141272302944004,0.019998916438086312,0.01955551638478391,0.019339532782000696,0.019558580457473294,0.019478959753463136,0.01980396437251503,0.018847043658444945,0.0196517088546889,0.01948004500944782,0.019484588307633395,0.02042437694079416,0.019518740622839842,0.020610144254327098,0.020021053725537377,0.019425691053897184,0.01929221658875216,0.020646275496285036,0.01885068222342109,0.01951782809525877,0.02008463394220664,0.018764397476852896,0.020358941160918735,0.019313352388645236,0.019123832686256767,0.019831145421046026,0.018877100921039176,0.019178909383188013,0.018766184348915957,0.019489443017172918,0.01993253277917665,0.01931366533327198,0.018974222769914333,0.018915076422779047,0.02037595005409545,0.019927649102208383,0.02033784407567138,0.02033518807881518,0.019320239708839268,0.0190099056200062,0.019775186948967894,0.019404500599375853,0.019589522418314968,0.01937521212915768,0.019557559195910373,0.020412450872965317,0.019190938596674183,0.01976625322233897,0.01911914637334057,0.018646877822058167,0.019144660511662085,0.019749389825645624,0.019879033263983537,0.018365245094721976,0.01982521825539956,0.019824292541307072,0.019712854713520373,0.019671818871168843,0.019270294843001065,0.019658463573178606,0.01950738142888884,0.019386625403859572,0.019687574131626813,0.01945767710197329,0.019718404874516416,0.02011330480212415,0.01917523969592395,0.018899718220079194,0.020218175642591138,0.019738497397330433,0.019137094384943543,0.01904162375285077,0.019597845093755017,0.01902089043281962,0.0197815689112957,0.02003974551292225,0.019473778342352796,0.018908419329591083,0.02029408161143529,0.019828071875808744,0.01899804322003793,0.01914856469208,0.020319778740311156,0.019783976916901026,0.019163711444970907,0.019099028397781676,0.019488459160402555,0.019709932087363876,0.02004735414171752,0.019435446616945476,0.020042553876650576,0.019221321159356736,0.018774351387866626,0.01834804861692961,0.01982638004208151
3.5,0.022666363499935196,0.022788910118578785,0.022561783540841998,0.022562412328956442,0.021334565328182863,0.022094299847037903,0.023072865258713094,0.02256707433461856,0.022320602590376704,0.022570570473159926,0.022479718275936762,0.022850514498533984,0.021758356502084727,0.022676824830403102,0.02248095667887217,0.022486141091568834,0.023557940038421453,0.02252511181271076,0.02376965891057044,0.02309811045593463,0.022418930540170894,0.02226659878306201,0.023810832175772775,0.021762511648623233,0.022524070561129414,0.023170613139499075,0.021663971868526654,0.023483351686569953,0.022290722268243475,0.02207439098500689,0.02288151870106949,0.021792680574449573,0.022137264486704673,0.021666012632814986,0.022491680828463406,0.02299715781925576,0.022291079445096923,0.021903581062072384,0.021836045172258397,0.023502740194797055,0.02299158797794078,0.02345930248162574,0.023456274787433107,0.02229858302538684,0.021944323003190176,0.02281768828433799,0.022394747915111805,0.022605874852655517,0.022361322797880275,0.02256940520460483,0.023544346295125987,0.02215099603874013,0.02280749741248219,0.02206904107457533,0.02152974461591929,0.02209816773840243,0.022788260718533043,0.022936139762767732,0.021207996278419277,0.02287475793507386,0.022873702023635093,0.02274658244837813,0.02269976769638801,0.022241577610932827,0.022684531131281736,0.02251215017442416,0.022374348200387244,0.02271774197719016,0.022455431978197125,0.02275291403954665,0.02320330569032984,0.02213307543700973,0.02181850772604513,0.023322877306511107,0.022775835120646,0.022089530422497394,0.0219805366586601,0.02261537069564748,0.02195686488703905,0.02282496824347254,0.02311942590966023,0.022473805662856273,0.021828443513949105,0.023409414386286114,0.02287801289645624,0.021930778952044552,0.022102624630336534,0.023438708776411455,0.022827715061673626,0.022119915499920057,0.02204607398728486,0.022490558146454988,0.02274324831668768,0.023128102384422863,0.02243006341921122,0.02312262842718257,0.022185677374715374,0.02167534005088616,0.02118834685802998,0.022876083119950576
4.0,0.025578703022264105,0.02571516004635191,0.025462235884669896,0.025462936189103016,0.02409441355148157,0.024941433165465675,0.026031268517262705,0.02546812841935135,0.025193584085954127,0.025472022165310613,0.025370832160941388,0.025783749473546842,0.024566990217577894,0.0255903526295203,0.025372211553718944,0.02537798617936527,0.026571015328041212,0.025421392301536252,0.026806495756016922,0.026059366996516342,0.025303121288928834,0.025133418320425566,0.026852282830016175,0.024571622485864412,0.025420232568180417,0.0261400592929689,0.024461761399605597,0.026488041179600613,0.025160294840903333,0.024919246991697477,0.025818267146423976,0.024605254907197924,0.024989310558507876,0.024464036762331658,0.025384156540193912,0.025946999194376267,0.0251606927737668,0.024728876531827593,0.024653595744892752,0.02650961022570052,0.02594079914112298,0.026461286554382065,0.026457918203006508,0.025169052517212968,0.024774287692257355,0.025747201884936885,0.02527618309758009,0.02551134069369182,0.025238947938322747,0.025470724375418818,0.02655589383906745,0.025004611703453184,0.02573585541636758,0.024913285030113703,0.024312091496413155,0.02494574343019003,0.02571443698614428,0.025879074806293728,0.023953227094389844,0.025810740346086356,0.025809564788072652,0.025668030029310528,0.025615900996843494,0.02510554083025223,0.025598934174731653,0.025406955681124773,0.02525345825335352,0.02563591602142182,0.025343780491868584,0.025675080135688696,0.026176442313758853,0.02498464262606405,0.02463404612251307,0.02630949922309129,0.02570060186649024,0.024936118230609424,0.024814649711658667,0.02552191593520811,0.02478826648158665,0.02575530727028891,0.0260830909039185,0.02536424637920707,0.024645121954087367,0.0264057837635367,0.025814364121422424,0.02475919167885805,0.0249507100346644,0.026438375526942427,0.025758365513177624,0.024969978119353295,0.024887689974277344,0.025382906059437577,0.025664317515095184,0.026092747564177877,0.02531552247174133,0.026086655223349776,0.025043256167994764,0.02447443635271596,0.02393130642640187,0.025812215687077204
4.5,0.02836632418556624,0.028515346099152242,0.02823911247220882,0.028239877438588187,0.026743705356227023,0.027670034693139067,0.028860462750433996,0.028245549067381998,0.027945605053947137,0.028249802298434774,0.028139263263541974,0.028590241484440483,0.027260652626838498,0.028379047486820914,0.02814077019457046,0.028147078711913194,0.02944942019428919,0.028194496464644503,0.02970624344098872,0.028891133035822494,0.028065288638004955,0.027879859125726384,0.029756171477871848,0.027265718306814974,0.028193229581550103,0.028979204880031827,0.02714557028931793,0.029358907299742,0.02790922896505218,0.027645783708329284,0.028627930173919396,0.027302496615180222,0.027722365606312582,0.027148058875404682,0.028153819501206052,0.028768473842378153,0.027909663806435416,0.02743766812926497,0.02735535640557044,0.029382436955314596,0.02876170543802565,0.029329719802049948,0.029326045086657287,0.027918798870836797,0.02748731675281324,0.028550334602093483,0.02803585670790456,0.028292749686753587,0.027995172945574808,0.02824838469408355,0.02943292553157742,0.02773908938743474,0.028537944840290007,0.027639266766639307,0.026981859283974702,0.027674746024732202,0.028514556527765713,0.028694320009321643,0.026589203446675043,0.028619712053534436,0.02861842851602892,0.028463879284243845,0.028406949880461815,0.027849394406084797,0.028388419836092586,0.028178725888064384,0.02801102738751399,0.02842880845927328,0.028109709874652333,0.02847157832078192,0.029018912283413363,0.02771726360497745,0.027333979650244703,0.029164111213262442,0.028499448636126183,0.027664225172427826,0.027531442704516174,0.028304300594230395,0.0275025993779779,0.028559185158237344,0.028917027500649783,0.028132068526183242,0.027346090707781868,0.029269166818029286,0.02862366867444249,0.027470812395739893,0.02768017473629638,0.029304724621026332,0.028562524537908623,0.02770123525746262,0.027611288592680104,0.02815245342208316,0.02845982502240593,0.028927567448711562,0.028078837494375657,0.028920917860872142,0.02778132541724726,0.02715943291696806,0.0265652129706967,0.028621322907523276
