Deltai (deg),d HBM 0,d HBM 1,d HBM 2,d HBM 3,d HBM 4,d HBM 5,d HBM 6,d HBM 7,d HBM 8,d HBM 9,d HBM 10,d HBM 11,d HBM 12,d HBM 13,d HBM 14,d HBM 15,d HBM 16,d HBM 17,d HBM 18,d HBM 19,d HBM 20,d HBM 21,d HBM 22,d HBM 23,d HBM 24,d HBM 25,d HBM 26,d HBM 27,d HBM 28,d HBM 29,d HBM 30,d HBM 31,d HBM 32,d HBM 33,d HBM 34,d HBM 35,d HBM 36,d HBM 37,d HBM 38,d HBM 39,d HBM 40,d HBM 41,d HBM 42,d HBM 43,d HBM 44,d HBM 45,d HBM 46,d HBM 47,d HBM 48,d HBM 49,d HBM 50,d HBM 51,d HBM 52,d HBM 53,d HBM 54,d HBM 55,d HBM 56,d HBM 57,d HBM 58,d HBM 59,d HBM 60,d HBM 61,d HBM 62,d HBM 63,d HBM 64,d HBM 65,d HBM 66,d HBM 67,d HBM 68,d HBM 69,d HBM 70,d HBM 71,d HBM 72,d HBM 73,d HBM 74,d HBM 75,d HBM 76,d HBM 77,d HBM 78,d HBM 79,d HBM 80,d HBM 81,d HBM 82,d HBM 83,d HBM 84,d HBM 85,d HBM 86,d HBM 87,d HBM 88,d HBM 89,d HBM 90,d HBM 91,d HBM 92,d HBM 93,d HBM 94,d HBM 95,d HBM 96,d HBM 97,d HBM 98,d HBM 99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.003204251353951658,0.003324369566879859,0.003170413468710313,0.0032397886892716553,0.003163960995937789,0.003198260259052494,0.0031797887925743462,0.0033130055555528402,0.0032621540541900155,0.00324460158552753,0.003258022021769549,0.0031668281333337633,0.0033570851577964748,0.0032114188929758627,0.0033579670940143145,0.003265727002685524,0.0032893901307806442,0.0031092969708169612,0.0031556300533440796,0.0033031318056939113,0.003274024770565766,0.0031770472182061724,0.003345233810513634,0.003092072465296115,0.003299231344844896,0.0031273926760777985,0.003185055520060112,0.0032483102046061956,0.0031216553086608444,0.0033044079631760984,0.0031144812144880832,0.003317460438051524,0.0033496365719292097,0.003387698740541771,0.003298718618644957,0.0033257340937695922,0.003302798866167903,0.0033354129557743675,0.0031833207075401917,0.003132222530007891,0.003284263574331356,0.0032831794134607645,0.0032620396722913623,0.0034098981824335307,0.003086460166123836,0.0031915648148354344,0.0032424616651315318,0.003347245586869535,0.003231745309681306,0.003159461071915335,0.0031739185750831195,0.003161281699598901,0.0033064372531673427,0.0034298700569903363,0.0032464069122891937,0.0032847553583364815,0.0032660165734003472,0.003245768751960979,0.0033541232937633484,0.0031180556046820577,0.003259455937935524,0.0032636681025171007,0.0032319480523101186,0.003203113901743315,0.003239805698196462,0.003189254371601185,0.0032012126055514013,0.0033122398514554593,0.0031991253212432084,0.0032252297686320027,0.003233551646061096,0.0032115148306112217,0.003302023785211464,0.0032568016521354447,0.0032458000949133477,0.0034419181974219637,0.003222760589306024,0.0031846995290726998,0.003059444116145814,0.0032287535605901307,0.0032949807918842586,0.0031813247221921226,0.003278962417051799,0.0032488085554351325,0.0031571846792981225,0.003250330851581842,0.0031962855921611175,0.0032103220102573608,0.0032839816351755576,0.0031919668834256057,0.0032067459366920312,0.0031832893243717453,0.0033131408957209683,0.003264116257050031,0.0032003347781158803,0.003200297125841692,0.0032891770729772322,0.003251405057880051,0.003352171552482015,0.0032962203060572467
1.0,0.006393110092378556,0.006632171168868786,0.006325757621841566,0.0064638415336944624,0.0063129139363215766,0.0063811853936153054,0.006344419037650585,0.006609556193155749,0.006508354313327024,0.00647342055110328,0.006500130627918113,0.006318621005795699,0.006697274742930642,0.0064073762488922985,0.0066990297394510425,0.006515465253191115,0.0065625590281630135,0.0062040998650168,0.00629633096097657,0.006589906601528635,0.0065319794574774616,0.006338962009750371,0.006673691095810884,0.006169810953059606,0.006582144276339824,0.006240122121563053,0.006354902249776007,0.006480801698970449,0.006228701124347375,0.006592446278547689,0.006214419991636989,0.006618421687954017,0.00668245244176662,0.006758192446545019,0.006581123894167651,0.006634886622594774,0.006589244018815636,0.006654147718641942,0.006351449183452598,0.006249736515365802,0.006552356424037855,0.006550198773776152,0.006508126667991356,0.006802365168371903,0.0061586383282050804,0.006367858628000447,0.006469161516125257,0.006677694469759528,0.006447832790859823,0.006303956736918223,0.0063327345047016585,0.006307580744344459,0.006596484752175566,0.006842104188180176,0.006477013641301357,0.006553335150219397,0.006516041559834637,0.006475743530175184,0.006691380806382133,0.006221535381780274,0.00650298445339482,0.006511367601455384,0.006448236312006354,0.006390846111313914,0.006463875386361571,0.006363259837675035,0.006387061769091044,0.006608032388125611,0.006382907223430289,0.006434864763857122,0.006451427960024686,0.006407567200603484,0.006587701529471532,0.006497701804677795,0.006475805911130168,0.006866076387311201,0.006429950267823483,0.006354193666456083,0.0061048550940018525,0.006441878261552248,0.00657368517933553,0.0063474762532049886,0.006541806255703318,0.006481793547805847,0.006299425503402458,0.00648482331173298,0.0063772549853401824,0.0064051930408189845,0.0065517953212139305,0.0063686589183263665,0.006398075287938467,0.006351386716583787,0.006609825529430487,0.006512259525917593,0.006385314536656032,0.006385239593315954,0.006562135013249973,0.006486961256535023,0.006687496940790069,0.006576151962947312
1.5,0.009551306772637227,0.009906974383658129,0.009451082457547782,0.009656550002872057,0.009431969352707499,0.009533562762836805,0.009478852562510949,0.009873333132506075,0.00972277695028559,0.009670802159162715,0.00971054187777055,0.009440462266131799,0.010003814823826094,0.009572534531547366,0.010006425240416426,0.009733356394550296,0.009803418707464963,0.009270027155232953,0.009407291230504787,0.009844102302389553,0.009757925368226287,0.009470732011827042,0.00996873547779642,0.009218992175844598,0.009832554828733388,0.00932363963060203,0.009494452372391552,0.009681784094014836,0.009306641850001449,0.009847880379412649,0.00928538700697635,0.00988652124881854,0.009981767608315607,0.010094421632687763,0.009831036868405986,0.009911013733456906,0.009843116628394906,0.009939665012798119,0.009489313972236959,0.009337948467310498,0.009788240451511825,0.009785030523589554,0.009722438264772782,0.01016011818901259,0.009202362570962554,0.009513732154234095,0.009664465368506264,0.009974690344669811,0.009632730984100252,0.009418639670212033,0.009461464853080113,0.009424032765642232,0.009853888072849868,0.010219217517294136,0.009676148099614717,0.009789696495767166,0.009734213802220733,0.009674258381265734,0.0099950480234395,0.009295977006271874,0.009714787769782778,0.009727260042113274,0.009633331379314167,0.009547937978364389,0.00965660037092059,0.009506888945095875,0.009542306871574742,0.00987106633855367,0.009536124870504767,0.0096134358189649,0.009638080190761232,0.009572818661322867,0.009840821980913947,0.009706928287619467,0.009674351194030565,0.010254867208118005,0.009606123443348952,0.009493397953511637,0.00912230701986951,0.009623871261885278,0.009819970686828066,0.009483401951064807,0.009772544923734335,0.009683259794249317,0.009411896444318448,0.009687767549676558,0.009527714237582785,0.00956928598589788,0.009787405701860465,0.009514923018569179,0.009558694928923684,0.009489221017033818,0.009873733793440007,0.00972858702089029,0.009539706978053385,0.00953959546173487,0.009802787910953688,0.009690948424831236,0.009989271021152636,0.009823640401529133
2.0,0.012663816918688953,0.013132622276413163,0.012531675279587564,0.012802558753997821,0.012506473639730207,0.012640423324261164,0.012568290606444151,0.013088288292621597,0.012889856592299765,0.01282134598702382,0.012873729306533592,0.012517672066426677,0.01326023308961504,0.0126918028149247,0.013263672743176053,0.012903801372231922,0.012996146149882908,0.012292921189680901,0.01247393337877616,0.01304976511536534,0.012936185089434005,0.01255758365639255,0.013214009234472015,0.01222561303031299,0.013034546381522034,0.012363624295203778,0.012588858671896014,0.012835822186462547,0.012341208437934655,0.01305474430158176,0.012313177930684222,0.013105668409815517,0.01323118182539106,0.013379616189232469,0.013032545804131383,0.01313794539687567,0.013048466076642597,0.013175701777634111,0.01258208382714601,0.012382493749493701,0.012976141291143958,0.012971910577092972,0.012889410167548729,0.013466169562524135,0.012203679969225627,0.01261427818363185,0.012812992851051577,0.013221856065473067,0.012771159741035685,0.012488897407527311,0.012545364776108871,0.01249600866070588,0.013062661887460537,0.013544025456932986,0.012828392938399049,0.012978060365295072,0.012904931514725349,0.012825901940617869,0.013248681308361656,0.012327143921510166,0.012879325925662167,0.012895765783297953,0.012771951212713286,0.012659375558995802,0.012802625149866558,0.012605255792002222,0.012651951565955692,0.013085300943420997,0.012643801222048737,0.01274572356503563,0.012778211318819916,0.01269217739634997,0.01304544191064365,0.012868966118319548,0.012826024285114195,0.013590986754537954,0.012736083749573777,0.012587468451873049,0.012098087282820691,0.012759480336048215,0.013017961154666788,0.012574288932070405,0.01295545428904388,0.012837767414885681,0.012480005828495769,0.012843709395791866,0.01263271255548435,0.012687520097893779,0.012975041085111692,0.01261584826465827,0.012673557272637765,0.012581961267785215,0.0130888163124753,0.012897514876135394,0.012648523876325637,0.012648376853401517,0.012995314770746497,0.012847902305736604,0.01324106903883765,0.013022797668410429
2.5,0.015715980076351353,0.016293364173131486,0.015553176064291414,0.01588688864332939,0.015522123727416185,0.015687160030484686,0.015598290201961714,0.01623877572500896,0.01599441186610431,0.015910029480722128,0.015974548999775958,0.015535922042743315,0.016450475531878145,0.015750456629529314,0.016454710024290033,0.016011586387198507,0.016125311979167643,0.015258957089726896,0.01548202771138884,0.016191339815731735,0.016051469390616187,0.015585098254185319,0.016393568557227525,0.01517599771573223,0.016172599480161545,0.015346093792711995,0.015623631486576901,0.0159278599316657,0.015318468575773804,0.016197471108546833,0.015283922864406442,0.016260176207653822,0.016414710387145127,0.016597435788901674,0.01617013594599148,0.016299918341792084,0.016189740193661973,0.01634640525205976,0.015615284475011646,0.015369347873506889,0.016100676392677687,0.016095466278137315,0.015993862040569417,0.016703969843570064,0.015148963130916973,0.015654949245121987,0.01589974071828573,0.016403229142315463,0.015848212332944336,0.01550046653462067,0.015570043266819657,0.015509228977236734,0.01620722062734901,0.01679978935545169,0.015918709305096458,0.01610303971950796,0.01601297826892032,0.015915641117977553,0.01643625422724169,0.01530113514886456,0.015981442012432803,0.016001689715216403,0.01584918726021922,0.015710508545785228,0.01588697042614874,0.015643833438965266,0.015701362498088768,0.016235097298735495,0.015691321524886077,0.01581687981133179,0.015856898367391764,0.01575091807844781,0.016186016259282742,0.01596868243719968,0.015915791811138516,0.0168575817447003,0.01580500515126568,0.015621918658255162,0.015018800375804548,0.015833825647819044,0.01615217606475661,0.015605680618728428,0.016075200151372544,0.015930255862019776,0.015489510282594966,0.015937574543124198,0.015677660474300102,0.015745180712441954,0.01609932149399187,0.01565688361115519,0.015727979600064886,0.015615133473980905,0.01623942589275335,0.016003843914754415,0.015697139701509207,0.015696958573907228,0.01612428816379082,0.015942738879514275,0.0164268827181196,0.016158131895919796
3.0,0.018693614810103006,0.019373983735886766,0.01850168893689307,0.018895055497215617,0.018465077894262404,0.018659642197463154,0.018554876619413047,0.019309678412258224,0.01902176658500335,0.018922327243288746,0.018998360331748607,0.018481346422598497,0.01955903824170741,0.01873425371404786,0.01956402538896663,0.019042004471877517,0.01917600463371413,0.01815474804671006,0.018417802283230124,0.01925379544304628,0.019088999706460504,0.01853932415562781,0.0194920139916653,0.018056901330426926,0.01923171709835848,0.018257511488441326,0.018584751699972556,0.018943340131452227,0.01822493321438894,0.019261018729719182,0.018184192153386788,0.019334888724653918,0.019516915071670006,0.019732105229540792,0.019228814725849343,0.01938170428466378,0.01925191091695038,0.019436462298342387,0.018574911427048733,0.01828493408688069,0.019146978627832288,0.01914083988748554,0.019021118682054132,0.01985754577537952,0.0180250132433525,0.018621671275031768,0.018910201908597216,0.019503392412022456,0.018849473360595278,0.01843954303932584,0.01852157499308735,0.018449874451851866,0.019272504547411955,0.019970356824291643,0.018932556326098006,0.019149763170295167,0.019043644601308078,0.01892894051138714,0.01954228900610077,0.018204491456094533,0.019006483068255954,0.019030342611244016,0.018850622390886054,0.018687165145093505,0.018895151880525013,0.01860856733673791,0.018676383984474784,0.019305345068704224,0.01866454777200113,0.018812544760525587,0.0188597105052002,0.018734797631347593,0.019247523709733854,0.018991447113736053,0.018929118101430022,0.020038391293129214,0.018798548896954818,0.01858273245842404,0.017871468320258623,0.0188325173408607,0.01920765533126198,0.018563589343518462,0.019116961265961362,0.018946163661746795,0.018426624852792495,0.018954788453302836,0.01864844401958971,0.018728034884346274,0.019145382242126384,0.018623951597186487,0.018707759319343032,0.018574733411390015,0.01931044433573235,0.019032881049330312,0.01867140620534121,0.018671192693865846,0.0191747983763092,0.018960874385675466,0.019531251495936954,0.019214672230180682
3.5,0.02158312837960955,0.02235992088319045,0.021363888546647513,0.021813183325311587,0.02132206152009944,0.02154432459182779,0.021424650650377852,0.022286528994630187,0.02195786522464142,0.021844324732449915,0.021931141020998947,0.021340648054035908,0.022571092808594106,0.021629544399443,0.02257678316458472,0.021980971330025852,0.022133948636204416,0.020967445896101035,0.021268047851368807,0.022222744996565267,0.022034624825071902,0.021406883768108155,0.022494614569195482,0.020855608848364786,0.022197543927688686,0.02108488870582731,0.021458778536661137,0.021868318506047705,0.021047658298358883,0.022230989788806464,0.021001097444662588,0.022315302282425183,0.022523028742436498,0.022768543144525498,0.022194230999123814,0.022368731993670676,0.02222059395214344,0.022431222489722787,0.021447537605693515,0.021116226098966594,0.02210081403081712,0.022093806211620364,0.02195712548831852,0.022911631435873353,0.020819158532807306,0.021500952048312094,0.021830479026362926,0.022507598384242045,0.02176113116072258,0.02129288763183516,0.021386607011744295,0.02130469150524801,0.022244099766098435,0.02304029510023391,0.021856004986513987,0.022103992771938027,0.021982843882726154,0.021851876222574732,0.022551981612290332,0.02102429675013884,0.02194041527936288,0.021967656757892355,0.02176244332157036,0.021575761641570115,0.02181329338648674,0.021485983531662155,0.021563447389680208,0.02228158313215284,0.021549927874806675,0.02171895876436231,0.02177282163382877,0.021630165623333558,0.022215586267231118,0.02192324767816929,0.021852079006435127,0.023117881621297548,0.021702975028589096,0.021456471888302762,0.020643626661002425,0.021741767646062938,0.022170078149000932,0.021434603781554387,0.022066546538502027,0.02187154253622042,0.02127812810666081,0.02188139063268789,0.021531533600772115,0.021622441663203245,0.02209899164519987,0.021503556816996193,0.021599283888222763,0.021447334250191442,0.02228740317887245,0.021970554957562262,0.021557761712370744,0.021557517836324,0.022132571657206754,0.02188833970779004,0.02253938739436432,0.02217808780806466
4.0,0.024371619910070495,0.025237386189803847,0.024127120202201806,0.02462811073880865,0.024080466649078633,0.024328350059798068,0.024194889578318772,0.02515562307677235,0.02478938141722087,0.02466282512350923,0.024759595239182985,0.024101198222699818,0.025472603903266146,0.024423375429366883,0.025478941370082393,0.024815134164887318,0.024985615649396734,0.02368483591250484,0.024020216702023343,0.02508455779745018,0.02487493049411044,0.02417507428193211,0.02538742423060351,0.023560028441706543,0.025056478368031442,0.023815881083770637,0.024232951004028263,0.02468957090036881,0.023774340626251486,0.025093744087820783,0.023722386928046818,0.02518767917632419,0.025419072201704623,0.025692482612886237,0.025052786986409576,0.025247201820214456,0.025082161103457755,0.025316813578676472,0.0242204146310405,0.02385084485795649,0.02494869236914885,0.024940883071167354,0.024788556937311874,0.025851791072653913,0.023519347110375986,0.024279983204443297,0.024647391006986912,0.025401885861301904,0.024570083483698036,0.024047924909709553,0.024152459215731763,0.024061091568110697,0.025108350943268992,0.025995015903367433,0.024675845160141163,0.024952234638393064,0.02481722117359662,0.02467124282784062,0.025451319046945267,0.023748273626343304,0.024769932222516167,0.024800294590457485,0.02457154631323126,0.024363405465569532,0.024628233430058193,0.024263290484000558,0.024349674021842835,0.02515011281582121,0.0243345983701264,0.024523067403782524,0.024583116231426193,0.02442406809637473,0.02507658151585851,0.024750797316651304,0.024671468871507802,0.026081372145780043,0.024505247235750434,0.024230378543852574,0.0233234150385833,0.024548496284577333,0.025025874579601582,0.02420599005848779,0.02491050509583948,0.024693164656144434,0.024031461097227712,0.024704142026057994,0.02431408646196702,0.024415455814169196,0.024946661565139958,0.024282887982000914,0.024389634210376415,0.024220187838602143,0.025156597015331992,0.02480352475979895,0.024343333936153313,0.024343061989554486,0.024984081253678986,0.024711887866878036,0.025437292121955987,0.025034799461147273
4.5,0.027046975962880273,0.02799346651107115,0.026779492716374,0.027327489434055295,0.026728444319936873,0.026999644611826464,0.02685364077395039,0.02790412387558774,0.027503818294817645,0.027365448191438036,0.027471253609259887,0.026751129210514212,0.028250437742802868,0.02710358611419463,0.02825736025826276,0.027531972321496106,0.02771832711177624,0.026295424848689963,0.026662514319021738,0.027826463292531734,0.027597340759475484,0.026831961045831933,0.028157389256990926,0.026158778192673704,0.02779577599898676,0.026438878022840666,0.026895281910856713,0.027394692473803238,0.02639340684924177,0.027836502519715915,0.026336533776948345,0.027939152705481387,0.028191962004983303,0.028490582322631693,0.02779174170125301,0.02800419144085683,0.027823844049061783,0.028080248075248032,0.026881566699902635,0.02647714837490517,0.027677969345501877,0.027669433411143605,0.02750291692236997,0.028664532247142306,0.02611423325398877,0.026946734790652325,0.027348571821705612,0.02817318754429433,0.0272640353133352,0.026692835330322805,0.026807217459080733,0.026707243198230507,0.027852465366096004,0.028820890380697173,0.027379684641263814,0.02768184118670967,0.02753425389048405,0.027374652356922203,0.02822718755109765,0.026364872086936268,0.027482554982890674,0.02751574916296896,0.027265635007434355,0.027037990671426232,0.02732762359482401,0.02692847342474221,0.027022970456637534,0.02789810247662917,0.027006479574926,0.02721261877293661,0.027278287321356686,0.027104343727981015,0.027817746327839298,0.027461634767644134,0.02737489951837412,0.028915151515389727,0.027193129937074678,0.026892467571020533,0.025899661419821727,0.0272404280413872,0.027762328661453187,0.026865785469183893,0.027636228040380476,0.027398621871941684,0.026674819154721252,0.027410624374271927,0.02698404160676853,0.027094923882581945,0.027675749588141726,0.026949912496468834,0.027066680408858172,0.026881318579414278,0.027905188153434374,0.027519280526488676,0.027016035232021722,0.027015737756774166,0.02771665002881251,0.02741909346838756,0.028211865109386763,0.02777208293099063
