Deltai (deg),e HBM 0,e HBM 1,e HBM 2,e HBM 3,e HBM 4,e HBM 5,e HBM 6,e HBM 7,e HBM 8,e HBM 9,e HBM 10,e HBM 11,e HBM 12,e HBM 13,e HBM 14,e HBM 15,e HBM 16,e HBM 17,e HBM 18,e HBM 19,e HBM 20,e HBM 21,e HBM 22,e HBM 23,e HBM 24,e HBM 25,e HBM 26,e HBM 27,e HBM 28,e HBM 29,e HBM 30,e HBM 31,e HBM 32,e HBM 33,e HBM 34,e HBM 35,e HBM 36,e HBM 37,e HBM 38,e HBM 39,e HBM 40,e HBM 41,e HBM 42,e HBM 43,e HBM 44,e HBM 45,e HBM 46,e HBM 47,e HBM 48,e HBM 49,e HBM 50,e HBM 51,e HBM 52,e HBM 53,e HBM 54,e HBM 55,e HBM 56,e HBM 57,e HBM 58,e HBM 59,e HBM 60,e HBM 61,e HBM 62,e HBM 63,e HBM 64,e HBM 65,e HBM 66,e HBM 67,e HBM 68,e HBM 69,e HBM 70,e HBM 71,e HBM 72,e HBM 73,e HBM 74,e HBM 75,e HBM 76,e HBM 77,e HBM 78,e HBM 79,e HBM 80,e HBM 81,e HBM 82,e HBM 83,e HBM 84,e HBM 85,e HBM 86,e HBM 87,e HBM 88,e HBM 89,e HBM 90,e HBM 91,e HBM 92,e HBM 93,e HBM 94,e HBM 95,e HBM 96,e HBM 97,e HBM 98,e HBM 99
0.0,0.00010301794946331028,0.000272488364726459,0.0007697432645827827,0.00013154825199348329,4.156764908761784e-05,0.0003824727580881915,0.00036771267286835854,0.00026998659308486323,0.00030956376554479623,0.0003577241755537813,0.0005275379011353748,0.00045056109578385956,0.0002864336693322228,0.00046257070025436034,0.00023033762303366955,0.00021697556774630825,0.0003122424745917347,0.00026194708214018306,0.00033799796758874934,0.0003610868057633279,0.00013906462274846385,0.00028204302813712056,0.0002221419071439948,5.998300533781795e-05,0.00013776406177732476,0.0001248215803675951,0.0003462396438230494,0.0004690706345064244,9.798031302501759e-05,0.00012982254234819284,0.00011743631488022285,4.3235170205712075e-05,0.00018732023122152008,0.000236580173437195,0.00037262872318132224,0.00034231315300709854,0.00021207347938559295,0.00014385534270476338,0.00039167767456588454,0.0005631813587196299,0.0002447261959550867,0.0007980522234146788,0.0004613555993718895,0.00036022756713898087,0.00012862522131019112,0.0005407755926463817,0.0003102399992839795,0.00027578639880480936,0.0012454972553794517,0.00022591204007371067,0.00033953918631341514,0.00017340159114076354,8.918295889407229e-05,5.5371775476831786e-05,1.776362628851316e-05,7.803297304087982e-05,0.0004818781535586458,5.5743845264409415e-05,0.00013892912822598583,0.00018904401602951523,0.0006937168296949499,0.00022478362261884482,0.00032468925822721226,0.0004625005648764288,0.00038187488722901935,0.00040791540183548217,0.00020362715757053345,0.0004411439449432953,0.000160941241298492,0.00040977696815649073,0.0007566574244133973,0.00024942424840065464,0.00022065763822459372,9.892547948953063e-05,0.00047857587060127604,0.0004057422967890891,0.0002490575210524948,0.00010626732756236707,0.00023210294080113533,0.00012106254710749328,7.360375154738451e-05,0.00022681283839405623,0.00014892267159582396,5.398046927375053e-05,0.00031432897949399823,0.00020211666163474887,0.00014123068686607102,0.00039361746155500176,0.00039477862755816665,0.00013398194088211503,0.0003968635176611382,0.000251343226751179,0.00020199301228935283,5.254476179481789e-05,0.00025275079762307023,0.00029103953119694433,0.00023934042063033855,0.00013211144565349273,0.00014610931472838767,0.00014931984100076376
0.5,0.00016014818096927717,0.000395949203797033,0.0010336016360847705,0.00020223738478739847,6.7820906684537e-05,0.0005396449042169065,0.0005222362006715328,0.00038760385022652496,0.00044318076458328167,0.0005047742072956315,0.0007289533845671959,0.0006345060541640013,0.00041237061639143655,0.0006419102808301814,0.000336177781737836,0.0003186576760290002,0.0004449486056181661,0.00037850567842864086,0.0004813963993851419,0.000510536315459306,0.00020988562923992485,0.0004033694788049341,0.0003274594060890498,9.584572703439848e-05,0.00020683700364500403,0.00018935547235265926,0.0004878567201416154,0.0006481287628491852,0.0001511448921362007,0.00019842988378132367,0.0001788305309026941,7.13333288099932e-05,0.00027843146694890537,0.0003419069369150602,0.0005261147240683671,0.0004856880769196608,0.0003077466436858292,0.000216243431498322,0.0005508992496644496,0.000774859397021079,0.0003558982350461906,0.0010783188490458796,0.0006394894299659714,0.0005131202090008795,0.00019386337681647086,0.000747588155614848,0.00044191438500410234,0.00039695099915438144,0.0016232258862325375,0.00032856127963665894,0.0004790752060368018,0.00025805456812570557,0.0001383534598227281,8.912595266264588e-05,3.075338784148205e-05,0.00012217213996728007,0.0006633829101318032,8.98082163004581e-05,0.00021252372856086875,0.0002776233054964608,0.0009373472756956887,0.000327790757270655,0.00046578568273669636,0.0006459923571231995,0.0005331154773176332,0.0005691103808121368,0.0002992695198650752,0.0006150669336761153,0.00024155789577893033,0.000576677050647512,0.0010195278682664788,0.00036556586177660216,0.00032302134090668244,0.00015282894804936163,0.0006617571973993579,0.0005678028022129728,0.0003620676758187294,0.00016371182383928895,0.00033546653636917496,0.0001845586371671593,0.00011672467675171215,0.00033304602230719866,0.00022476696529278372,8.692633660261873e-05,0.0004485685469462717,0.00029826082833891965,0.00021207674647521607,0.0005519368727784565,0.0005553688291051707,0.00020283086023996754,0.000560496245124657,0.0003650201988805913,0.00029715510203384677,8.460316608510025e-05,0.00036808414314216145,0.0004170832837515381,0.0003453072583854445,0.00019909792483704112,0.0002189218302911176,0.00022214925423664843
1.0,0.00024532874849423367,0.0005682214346527777,0.001374510009159909,0.0003064358233664137,0.00010891150900447578,0.0007528265910115938,0.0007331008392939163,0.0005499843252424156,0.0006270265856989195,0.0007043355793047784,0.0009965562461519677,0.0008832918029001529,0.0005866017562187069,0.0008813047531094926,0.0004846054269415846,0.0004621021464395389,0.000626783208718421,0.0005403837059984163,0.0006776844617266653,0.000713698567952829,0.0003125378524025449,0.0005702570414282097,0.0004765007917833484,0.0001508220557385729,0.0003064937056993462,0.00028338437438229884,0.0006798399510866578,0.000886218492151132,0.00022988906541202703,0.0002990452038521004,0.00026862193635392265,0.00011574747950742433,0.00040846716791030966,0.0004883034619938033,0.0007344599496661566,0.0006812671945409206,0.00044130197664056704,0.00032076886783618446,0.0007662273725249841,0.001054900104961092,0.0005112459538008562,0.0014422950342905913,0.0008770387076070463,0.0007223344641232788,0.00028835136093492675,0.0010224216953789997,0.0006222777805953845,0.0005645878310771426,0.002096883408275878,0.0004720828176895398,0.0006684926830599075,0.0003790617338294213,0.00021159131681641982,0.0001412341522865825,5.2298499937196824e-05,0.0001885101237729032,0.0009039008821057051,0.0001424373716000951,0.0003204872358801323,0.0004026868550485158,0.0012540962289247645,0.00047215816901404975,0.0006602103352589184,0.000892332254783799,0.0007363421775934995,0.0007854947692561718,0.00043433495817275173,0.0008482743094268281,0.0003577266844258046,0.000802428428510089,0.0013602250334096664,0.0005289622777286629,0.000466998226832004,0.00023276910839486334,0.0009054549918285569,0.0007859413705593094,0.0005199156926523038,0.0002486542547721573,0.00047916326538475395,0.0002775003366336135,0.0001823049113836712,0.00048284409029873557,0.000334655641506328,0.00013781475075879556,0.0006327310019445472,0.0004345337992223544,0.00031429158643830587,0.0007654607288079593,0.0007725731515400296,0.00030291884150621584,0.0007825742194826077,0.0005236472996864268,0.0004316648683568104,0.0001341221055981101,0.0005294132223814278,0.0005907363769536681,0.0004923597900751545,0.00029609412659979456,0.0003237467340430476,0.0003263218872809948
1.5,0.00037033281881783777,0.0008053457618676636,0.0018102145582397436,0.00045763513803125956,0.00017214167115950447,0.0010383914852126073,0.0010171823791133212,0.0007713098680375681,0.000876728811974172,0.0009718420956473333,0.001347906735442916,0.0012155112391362497,0.0008245006595774836,0.0011971083596963921,0.000689958039305575,0.0006616855298316009,0.0008727995023056006,0.0007622599527178505,0.0009429489039820836,0.000986452496421291,0.0004591730831578823,0.0007969264413975512,0.0006844614083021555,0.0002337246517686876,0.0004482454665551044,0.0004183924070665058,0.0009369576570913786,0.0011991590346144868,0.000344757197489181,0.00044436454510129417,0.00039801720285843347,0.00018471166701341683,0.0005914270736191999,0.0006891662790393661,0.0010137697196417694,0.0009447212626280874,0.0006253368250169775,0.0004695413632644604,0.0010538656829109502,0.0014210637628474436,0.0007254251501224476,0.0019096423897079664,0.001190123327566844,0.0010049271877930253,0.00042325766504754044,0.0013833115886448602,0.0008662360560193456,0.0007935178224031766,0.002684903895342958,0.0006701080188362944,0.0009225051358132924,0.000549601941463544,0.00031901075802522673,0.0002203408786000287,8.736156972270406e-05,0.0002866590427991396,0.001219008771703235,0.00022239271867177654,0.0004764345443814287,0.000576896005378149,0.0016613963499031291,0.0006717954827992826,0.0009246054984591705,0.001219017394551715,0.0010062276769325447,0.0010725325301862141,0.0006224759768604942,0.001157236508162562,0.0005227061924441094,0.0011039984369126594,0.0017969429250595814,0.0007556416376204065,0.0006667622651711949,0.00034951620946148154,0.0012259009447818557,0.0010760393124992908,0.0007374442206916222,0.0003723465235257718,0.000676368816595199,0.00041152595007876657,0.0002804187297710586,0.0006911552975024335,0.0004915388221870033,0.0002151144755440419,0.0008821761464110054,0.0006250059409402616,0.0004596721374703638,0.00104996512537989,0.0010627422957242578,0.0004462960352227338,0.0010801887880884853,0.0007420498798458616,0.0006191942078373248,0.0002093488929041229,0.000752030683004149,0.0008269224354428212,0.0006938197552759678,0.00043453986249411,0.00047252727370488264,0.000473283704951522
2.0,0.0005508752778638329,0.0011272851078072575,0.002361019792555631,0.0006735982129148147,0.00026779367162713374,0.0014161412825865866,0.0013949938970753257,0.0010691134892857836,0.0012114873229844938,0.0013260057094439054,0.0018037396021228277,0.0016534844177023458,0.0011450663637962348,0.0016087789866273215,0.0009702244731988152,0.0009355464153282831,0.001201437711682476,0.0010623679832051027,0.0012968350316318134,0.0013480645629315613,0.0006655858767884616,0.001100894682730308,0.0009705401124293808,0.00035669067210067807,0.0006470104204010527,0.000609398729287452,0.0012771212712470183,0.0016057178040487165,0.0005097750266151195,0.0006510506160448815,0.0005817317527483212,0.000289895081166981,0.0008451824230581545,0.00096119291252293,0.0013835474108893028,0.0012951381087900208,0.0008756442898308856,0.0006782469668019761,0.0014333590127059376,0.0018942164020569132,0.0010167495937255329,0.002502885667056907,0.0015979124873888293,0.0013816813581244243,0.0006131182621379099,0.0018515365446935591,0.0011920487775852247,0.0011020782105338278,0.003407550846038263,0.0009397151850478853,0.001258983675152599,0.00078655028326217,0.0004741464323832112,0.0003384310745154824,0.0001433463222693521,0.00042960080292345475,0.0016271303306468238,0.0003418266428045388,0.000698208196887189,0.0008162931587667764,0.0021793535571050654,0.000944159608989223,0.0012794066223015606,0.001646938239762675,0.0013604138182904035,0.0014487652995390234,0.0008809594449289928,0.0015616360119368267,0.0007535987360041304,0.0015018242914782369,0.002350550905760284,0.0010657103123327648,0.0009401530534464479,0.000517406118272173,0.0016423443116265835,0.0014571742794178718,0.0010331859830191815,0.0005497108031973774,0.0009435162556471594,0.0006019154769044103,0.0004248040282418707,0.000976810711947986,0.0007122156355963181,0.00033057741045084364,0.0012157307657940666,0.0008875196312230629,0.0006634975560290865,0.0014244436958377826,0.0014455947491332952,0.0006486706632630432,0.001473991885922741,0.0010387226210572843,0.0008770487490613025,0.00032173442564965176,0.001055041244958046,0.0011440261825427511,0.0009662688030362767,0.0006293123043418509,0.000680696510280474,0.0006777521495668629
2.5,0.000807479840502773,0.0015583743409237868,0.0030496965627931204,0.0009772017237687503,0.00041003096965754163,0.001909551368377682,0.0018909678933577412,0.0014646541165733208,0.0016544236899091794,0.0017890755851485427,0.002388052150990465,0.002223451102759196,0.0015713115729654621,0.0021390201543821353,0.0013475252471311203,0.001306108004411593,0.0016348490639818537,0.0014629108334167319,0.0017628576673430628,0.0018214546963788527,0.0009518875629394682,0.0015033263475244165,0.0013584923449791958,0.0005360762270233369,0.0009217383730521869,0.0008756471722882541,0.0017216434058601737,0.002127737877654415,0.0007432141294727399,0.0009405088864955733,0.0008386953869982435,0.0004474567857927129,0.00119207867868872,0.0013247972719458044,0.0018669483843746192,0.001755313342027409,0.0012116495340687124,0.0009667946140175977,0.0019278214973335837,0.002498385317076455,0.0014076480455018144,0.003247289459157155,0.0021227645660015465,0.0018774061778922308,0.0008764764799549435,0.002451697452604597,0.001621651783326424,0.0015125115673416101,0.004286620959541456,0.0013018845804681617,0.0016992237769333578,0.0011110782485526086,0.0006947352190558176,0.0005117586541224905,0.00023104023137292308,0.0006345019960629747,0.0021496479457587337,0.0005172255715116997,0.0010086856395462632,0.001140810022753457,0.002830702190563223,0.001310727835366704,0.0017491968490613373,0.0022005377515421916,0.0018197176405629041,0.00193600281006929,0.0012311890595337555,0.0020845359147368806,0.001072010121630248,0.0020200322582798924,0.0030445064407908424,0.0014838655939485167,0.001309175514949815,0.0007551236241915596,0.00217717510630149,0.0019518220752673813,0.0014298185047072025,0.0008001230854182495,0.0013007114006881979,0.0008683171258768075,0.0006337868071648868,0.0013630482753271636,0.0010180267462477663,0.0005001569591229835,0.0016560193400399466,0.0012442424965820327,0.000945161878653232,0.0019113233015419346,0.0019444438293061686,0.0009301007019291704,0.0019884369265030003,0.001436277443806474,0.0012266968480183105,0.00048683406144568286,0.0014618284736913208,0.0015642540276743163,0.0013299535342797307,0.0008993724800496531,0.0009677993514337846,0.0009582840482231416
3.0,0.0011663460390077276,0.0021276316142458665,0.003901225557656005,0.001397234360762438,0.0006179240040291418,0.002545865205340402,0.0025335785319904494,0.0019831825382094557,0.002232795136276867,0.0023869624768028306,0.0031280215918783713,0.0029555710809144047,0.0021305217020686933,0.002813772225535733,0.001848488428855939,0.0018004990360532024,0.0021990935232864563,0.0019903605278092694,0.00236856717197716,0.002433319971380731,0.0013431393883187482,0.0020292741420146064,0.0018770683401419677,0.000793430534434043,0.0012960002471734942,0.0012412710032647938,0.002295372425067686,0.002790123905160326,0.0010683647404648405,0.0013396268634139575,0.0011927414097817625,0.0006792428637884125,0.0016594516084381353,0.0018044323940967872,0.0024908874851396353,0.0023519029904356956,0.0016567687847344748,0.0013599186907945727,0.002564016257939135,0.003260641435688595,0.0019250092938578398,0.004170537407710581,0.0027902202392748013,0.0025210742103757805,0.0012364964525756576,0.0032116172182226725,0.0021808559907018597,0.0020512356310394397,0.0053449907703332755,0.001781859801733696,0.002268089696417863,0.0015491829887328745,0.001003519496785113,0.0007618684075368372,0.0003657830662509067,0.0009235690510253153,0.002810876915603982,0.000770447054955364,0.0014365340597222046,0.001574704417263337,0.0036405979477207202,0.0017973737485497022,0.002362907647321974,0.0029077993365945872,0.0024082145197325817,0.0025593773216213735,0.0016991397116193699,0.002752395416784874,0.001504644211545506,0.002686494768409452,0.0039045949772851733,0.00203977409044588,0.0018003997891992388,0.0010864927044456625,0.0028558988910980855,0.002585915470702784,0.0019545032634793067,0.0011481929878608868,0.0017720593217787047,0.0012354517681705706,0.0009312595145593646,0.001877924436582976,0.0014354923354738022,0.0007450219423137825,0.0022296633848860616,0.0017221276214034005,0.0013287668607394165,0.0025365385967398638,0.0025862737070869615,0.001315649406297173,0.0026518554395934027,0.001961775698157961,0.001694210749178653,0.0007253054452863731,0.0020003983934232744,0.002113872207238052,0.0018090984052692384,0.0012683810250555788,0.0013580704149201855,0.0013378013123341117
3.5,0.0016601237905128287,0.002868849117158785,0.004942343418725535,0.0019690467382977132,0.0009165486620827973,0.0033559753543701623,0.003355235079709827,0.0026540350195688664,0.002978004062454345,0.0031491699779211003,0.004053700390375979,0.003883663405532127,0.0028543131424925375,0.0036620019436617267,0.0025044461707952313,0.0024507936454596516,0.0029241481310991603,0.002675572087576235,0.0031455030031093136,0.0032140544696696713,0.0018698656180439351,0.002707747298631474,0.0025602487151944143,0.0011564818914398802,0.001798471351431534,0.0017358569241580505,0.0030266486459210257,0.0036206397767930268,0.0015142421210762426,0.0018813846116939163,0.0016732040184096342,0.0010140580187046454,0.0022799717861655892,0.002428757361481033,0.0032859386026943796,0.003115375023305088,0.0022386302667265073,0.0018876610804033297,0.003372227370303806,0.004210759777234975,0.0026003407052578287,0.005302175099171068,0.0036287993551243794,0.0033457235972247272,0.001721480379058561,0.004162008796199669,0.002899360250213169,0.0027489254194512356,0.006605990949830748,0.0024093471860096665,0.002993981044494446,0.0021320663384696605,0.0014289991940981753,0.0011166434973804394,0.0005688457413326693,0.0013248729097514633,0.0036378585388083,0.0011297811994673938,0.002016811047495699,0.0021468579504420136,0.00463621223252205,0.0024345742994584035,0.0031537900511665537,0.003800004773543091,0.0031531492690140724,0.0033472105944491698,0.0023156288066580443,0.003594877926071591,0.0020837468671710707,0.0035326629832691187,0.004958461477075637,0.002768226909677299,0.0024451854247241,0.0015411958500260873,0.0037069148841729926,0.0033887052331513993,0.0026390338762342052,0.0016244581965878609,0.002385839999243349,0.0017337153567287648,0.001347631677228253,0.0025545301952930688,0.001996809219067883,0.0010926005551235311,0.0029672838985524766,0.0023532001876183572,0.0018436017085700217,0.003329409767729378,0.003401604445807277,0.0018359246920344528,0.0034963038705351926,0.002646870053442554,0.00231054421651149,0.0010639408367482445,0.0027035205715777834,0.002823256291725861,0.002432064714131697,0.0017652110970423627,0.0018808943809514886,0.0018440087607253964
4.0,0.002328471100126404,0.0038203715974860757,0.0062008639866511775,0.0027349193710766695,0.0013380675693633538,0.004374026576180507,0.004391874334931387,0.0035104836453100446,0.003925328119326264,0.0041084709532582305,0.005197440430922362,0.005044615919926891,0.0037784116668411975,0.004715239674405864,0.0033513655940522785,0.003293977650911954,0.003843657417701549,0.0035536330060040124,0.004128862728349243,0.0041974005003075025,0.002568346325597794,0.0035715398360457585,0.003447175640568577,0.001660031500411621,0.002463218782276167,0.0023948101902709793,0.0039470238206629465,0.00464947171110553,0.002116124844465029,0.0026052183136005902,0.002315325520762442,0.0014888956338662705,0.0030917157725401665,0.003230576052587512,0.004285961964037481,0.004079692613298226,0.0029890860869307284,0.0025856364353454525,0.0043858628002481645,0.005380612132177865,0.0034696554756219883,0.006672785082237664,0.00466955228835057,0.0043880496368353065,0.0023652000172462288,0.005335861203855728,0.0038105106495676926,0.0036403313936395456,0.008092600982849406,0.0032184743374952854,0.003908562299795824,0.002896267211502123,0.002006031847674631,0.0016112722373245788,0.0008689611408024432,0.0018730420998719598,0.004659928733533036,0.0016309273668365471,0.0027912818425777455,0.002890853743821205,0.005846096053613119,0.00325736509806816,0.004159075261233391,0.004911203735263233,0.004084624005245723,0.004330640604473794,0.0031163362243283093,0.004644397108173078,0.0028472939767760857,0.004593110886115362,0.006234903753522572,0.0037089707660967835,0.003279641770990307,0.002155316763673842,0.004761049743021503,0.004392367124985531,0.003519707787079271,0.00226588440100387,0.0031744619364068565,0.002399575223449474,0.001920634203317184,0.0034309154800792195,0.002740099121691454,0.0015775508798559967,0.0039032358889863057,0.0031745754686957083,0.002524417241301844,0.004322265866688894,0.004424084152212225,0.002527400333568843,0.004557112976820778,0.0035276716122821746,0.0031115572973403217,0.0015366344936734496,0.0036085768716275493,0.0037266792007792124,0.0032312850839240916,0.002424266344270817,0.0025710569034860103,0.0025096221914911025
4.5,0.0032182409381103986,0.005024468576416439,0.0077047565312249626,0.0037439907274691457,0.0019226605593820794,0.005636679861291283,0.00568218310392055,0.004589269955566212,0.005113295788689169,0.005300269432783715,0.00659300436609274,0.0064774038975612055,0.0049420704438411815,0.0060068189910405245,0.004429421932331075,0.004371541454514858,0.004994357299098507,0.004663366035385524,0.005356815959138036,0.005419768700694296,0.0034805722442870952,0.004656748927374942,0.004581670475684412,0.0023466125389351353,0.003329687488405367,0.003259403474407421,0.00509068679968887,0.005908515295141173,0.0029157980208184514,0.0035569966206545596,0.0031603543292976427,0.0021499553600172164,0.004137851100480582,0.004246470717556097,0.005527397719038158,0.0052816635141811905,0.003943937817811374,0.003494968410303682,0.005640730532616292,0.006803254312006462,0.004572999211832414,0.008312874719033074,0.005945321521661185,0.005687613106124664,0.0032069357858155096,0.006767501629654431,0.00495073848786152,0.004763755278730904,0.009826467423690014,0.0042474230909659485,0.005046197017162183,0.003883438769590343,0.0027761525929080543,0.0022889858807433523,0.0013038905258060932,0.002609692444962822,0.005908023743912853,0.002317734203224197,0.003808301852799614,0.00384474443289562,0.007299290270086823,0.004304954951176978,0.005419244546166494,0.006277342986689014,0.005235013848071694,0.005542958610159506,0.0041414763269212,0.005935351204816449,0.003838803368709276,0.005904731673294275,0.007762907694080145,0.004906109573720669,0.004344229753185059,0.002971574631589819,0.0060508047934454265,0.005631302296544336,0.00463683168612695,0.0031160363819380294,0.004174117616027935,0.003275635085462509,0.002695821087872469,0.0045496192200007455,0.003709283085802447,0.002242512842342258,0.0050750040956074605,0.004228104156480527,0.003411386256781585,0.005549759442732056,0.005689750086040815,0.0034323984794503255,0.005872076693298272,0.00464425374492811,0.0041376903732764005,0.002185144874130913,0.004757024030227169,0.004861763662902307,0.0042428984556669375,0.003285494815832833,0.0034686791306863143,0.0033723117485192425
