Identifier,RA (J2000),Dec (J2000),Teff (K),Teff Unc),Mstar (Msun),Mstar Unc,vsini (km/s),vsini Unc,Prot (d),Prot Unc,Rstar (Rsun),Rstar Unc
2M J0412,04 12 40.711,+24 38 15.404,3337,3,0.4,0.4,6.4,0.7,5.7,0.2,1,0.2
2M J0420,04 20 25.557,+27 00 35.549,3083,32,0.25,0.01,14.2,0.8,2.2,0.1,0.9,0.4
2M J0433,04 33 44.659,+26 15 00.436,3143,4,0.13,0.03,15.9,0.8,5.9,0.2,1.5,0.5
2M J0434,04 34 31.289,+17 22 20.122,3294,4,0.38,0.1,8.7,0.6,6,0.2,0.9,0.2
2M J0436,04 36 01.313,+17 26 12.091,3592,86,0.54,0.06,16.4,0.8,2.7,0.1,1,0.1
2M J1100,11 00 40.242,-76 19 28.007,3340,64,0.32,0.03,5.4,0.8,2.8,0.1,0.9,0.2
2M J1608,16 08 30.685,-38 28 27.288,4856,53,1.4,0.1,<8.0,,6.2,0.2,1.7,0.3
AA Tau,04 34 55.427,+24 28 52.671,3879,172,0.62,0.04,11.6,0.3,8.2,0.3,2.4,1.6
AS 209,16 49 15.294,-14 22 09.057,4118,87,1.1,0.09,10.4,0.4,8.5,0.4,2,0.4
BP Tau,04 19 15.846,+29 06 26.471,3843,14,0.66,0.06,9.1,0.4,7.3,0.3,1.4,0.2
CI Tau,04 33 52.026,+22 50 30.094,4049,74,0.9,0.02,10.2,0.3,9,0.4,1.7,0.3
CIDA-7,04 42 21.022,+25 20 34.306,2997,77,0.51,0.02,19.1,1,1.9,0.02,0.7,0.1
CR Cha,10 59 06.853,-77 01 40.270,5036,61,1.8,0.16,36.5,0.9,2.3,0.2,2.2,0.4
CX Tau,04 14 47.873,+26 48 10.620,3681,42,0.37,0.01,20.1,0.4,3.3,0.1,1.4,0.2
DE Tau,04 21 55.649,+27 55 05.708,3685,7,0.37,0.05,9.5,0.3,5.9,0.3,1.6,0.3
DN Tau,04 35 27.385,+24 14 58.545,3883,32,0.6,0.04,10.7,0.3,6.3,0.2,3.6,0.6
DoAr 25,16 26 23.681,-24 43 14.346,4326,144,0.92,0.09,15.9,0.8,9,0.7,2.5,0.2
DoAr 44,16 31 33.456,-24 27 37.582,4614,48,1.3,0.1,16.3,0.5,3,0.1,1.6,0.3
Elias 2-24,16 26 24.078,-24 16 13.881,4056,138,0.86,0.11,16.2,0.9,6.6,0.4,4.1,0.2
EX Lup,16 03 05.492,-40 18 25.427,3898,46,0.57,0.07,6,1.4,7.4,0.3,1.4,0.3
FP Tau,04 14 47.315,+26 46 26.017,3508,63,0.39,0.01,31,0.8,2.19,0.03,1.4,0.2
FT Tau,04 23 39.198,+24 56 13.868,3453,11,0.4,0.01,10.2,0.6,6,0.3,1.5,0.1
GM Aur,04 55 10.987,+30 21 58.948,4332,30,1.1,0.02,14,0.4,6,0.2,1.5,0.3
GW Lup,15 46 44.709,-34 30 36.086,3682,85,0.41,0.03,<8.0,,4.1,0.3,1.3,0.2
IM Lup,15 56 09.189,-37 56 06.541,4158,74,0.65,0.05,14.8,0.5,7.2,0.3,2.2,0.4
IP Tau,04 24 57.093,+27 11 56.075,3813,26,0.55,0.03,11.1,0.3,5.7,0.2,1.1,0.2
IQ Tau,04 29 51.565,+26 06 44.486,3730,26,0.69,0.02,14.1,0.4,6.3,0.2,2.2,0.2
LkCa 15,04 39 17.804,+22 21 03.083,4461,36,1.2,0.03,14.8,0.4,5.8,0.2,1.6,0.3
MHO 6,04 32 22.110,+18 27 42.650,3103,57,0.21,0.01,20.9,1,1.94,0.02,1,0.1
MP Mus,13 22 07.414,-69 38 12.569,4588,7,1.3,0.06,13.8,0.3,3.7,0.1,1.5,0.3
MY Lup,16 00 44.502,-41 55 31.340,4619,37,1.1,0.04,29.1,2,2.6,0.1,1.7,0.3
PDS 111,05 24 37.250,-08 42 01.715,5635,85,1.13,0.06,21,1.1,3.2,0.2,1.9,0.2
PDS 70,14 08 10.108,-41 23 52.994,4016,60,0.7,0.06,16.8,0.5,3,0.1,1.2,0.1
RU Lup,15 56 42.294,-37 49 15.880,4125,69,0.85,0.08,8.5,0.6,3.7,0.1,1.8,0.3
RX J1615,16 15 20.223,-32 55 05.507,4329,113,0.78,0.06,15,1.4,5.7,0.2,1.5,0.3
RX J1842,18 42 57.983,-35 32 43.298,4619,82,0.74,0.07,26.7,2.9,2.6,0.1,1.3,0.2
RX J1852,18 52 17.306,-37 00 12.444,4729,57,0.88,0.05,19.7,0.9,2.8,0.6,1.2,0.1
RY Lup,15 59 28.370,-40 21 51.638,4896,62,1.2,0.07,21.9,2.3,3.7,0.1,1.6,0.3
SU Aur,04 55 59.392,+30 34 01.074,5726,54,2.2,0.5,61.3,1.6,2.7,0.1,3.5,0.6
SY Cha,10 56 30.263,-77 11 39.352,3931,38,0.88,0.24,13.6,0.4,6.1,0.2,1.6,0.3
Sz 114,16 09 01.834,-39 05 12.835,3279,25,0.2,0.03,<8.0,,2,0.03,1.5,0.3
Sz 73,15 47 56.923,-35 14 35.187,3953,31,0.74,0.12,31,3,1.9,0.1,1.4,0.3
Sz 90,16 07 10.055,-39 11 03.703,3861,41,0.6,0.08,<8.0,,6.7,0.6,1.1,0.2
T Cha,11 57 13.262,-79 21 31.681,5485,119,1.25,0.35,37.7,1,3.23,0.06,2.5,0.3
TW Hya,11 01 51.808,-34 42 17.276,3986,30,0.72,0.03,4.9,0.4,3.6,0.1,1.1,0.1
V1094 Sco,16 08 36.162,-39 23 02.871,4264,60,0.69,0.07,21.4,1,3.5,0.1,1.8,0.6
V836 Tau,05 03 06.603,+25 23 19.303,3699,38,0.65,0.07,11.9,0.4,6.8,0.2,1.4,0.3
WSB 52,16 27 39.422,-24 39 15.971,3242,19,0.46,0.03,17.9,0.6,6.2,0.4,1.8,0.1
WSB 63,16 28 54.069,-24 47 44.729,3598,33,0.43,0.07,10.4,2.1,12.3,1.3,1.9,0.1
