Spectral Type,Delta i (deg),Delta i +Uncertainty,Delta i -Uncertainty
M4.3,34.2,19.49423848,12.70800179
M5.3,0.2,30.49246058,0.2
M5.2,32.1,0.201002604,21.08555141
M4.3,0.2,13.79762224,0.2
M2.7,7.1,13.98814399,7.1
M4.0,15.0,7.322977575,5.204162916
K2.0,45.5,13.24938839,12.41399344
K7.0,2.3,19.38334937,2.3
K4.0,26.1,20.00799415,10.03479547
K7.0,29.1,19.36113455,5.648978844
K7.0,38.2,1.661030659,18.60106278
M4.7,54.7,3.621992905,13.55235083
K0.0,16.3,21.71299181,9.781423713
M2.5,0.7,21.74566866,0.7
M2.3,9.8,15.5274209,9.8
M0.3,12.8,3.952777151,5.805006687
K4.0,21.7,0.673004734,13.64517155
K3.0,15.3,13.8340276,7.747413846
M0.5,0.1,25.60185596,0.1
K5.5,0.1,3.945705809,0.1
M2.5,0.2,14.50424592,0.2
M2.8,18.8,12.76316626,8.237001881
K6.0,35.5,1.21900064,17.87958714
M1.5,16.0,10.34599631,8.648403892
K5.0,22.5,18.71599934,7.853535128
M0.5,8.1,8.181199682,8.1
M1.0,10.5,4.775000836,7.540692649
K5.5,36.9,2.831998078,18.68926595
M5.0,9.7,4.074107929,8.737008872
K1.0,9.3,14.64435368,9.3
K0.0,3.5,11.15956232,3.5
G2.0,13.8,5.373993694,7.343598777
K7.0,0.1,18.38789507,0.1
K7.0,0.1,6.015626319,0.1
K5.0,40.6,2.557003713,18.63981118
K3.0,48.0,7.871625423,17.04003097
K4.0,38.2,16.88902771,14.24126117
K4.0,1.7,12.66350652,1.7
G4.0,0.6,24.29153081,0.6
K2.0,32.0,5.171369689,18.55100589
M5.0,12.0,4.301996174,3.91728263
K8.5,1.1,22.02370593,1.1
K7.0,2.2,22.09578674,2.2
G8.0,0.7,11.51310422,0.7
M0.5,12.5,4.535040984,3.990004107
K6.0,0.3,18.68094612,0.3
M1.0,41.3,5.067981039,14.35368041
K5.0,34.6,0.863997095,8.536167053
M1.5,2.2,13.23484728,2.2
