Delta i (deg),KDE (deg)
0.0,0.028627095171375582
0.1,0.028627218922419186
0.2,0.02862759015556115
0.3,0.028628208809568272
0.4,0.028629074781828107
0.5,0.02863018792683116
0.6000000000000001,0.028631548054196626
0.7000000000000001,0.02863315492633365
0.8,0.028635008255647788
0.9,0.028637107700996946
1.0,0.0286394528641672
1.1,0.028642043284742996
1.2000000000000002,0.028644878436022946
1.3,0.02864795771939786
1.4,0.028651280458199927
1.5,0.028654845892359466
1.6,0.028658653170991904
1.7000000000000002,0.028662701346161196
1.8,0.028666989364818957
1.9,0.028671516061740506
2.0,0.02867628015109888
2.1,0.028681280218283874
2.2,0.028686514711400032
2.3000000000000003,0.028691981932367504
2.4000000000000004,0.028697680027800224
2.5,0.028703606980294148
2.6,0.028709760598032305
2.7,0.028716138506220193
2.8000000000000003,0.028722738136821635
2.9000000000000004,0.02872955671920641
3.0,0.028736591269935118
3.1,0.028743838583710966
3.2,0.02875129522275312
3.3000000000000003,0.028758957507689014
3.4000000000000004,0.028766821507653074
3.5,0.02877488303072259
3.6,0.02878313761433429
3.7,0.02879158051688593
3.8,0.028800206707311628
3.9,0.028809010857483552
4.0,0.028817987332913696
4.1000000000000005,0.028827130184827056
4.2,0.028836433142144513
4.3,0.02884588960363686
4.4,0.028855492631025183
4.5,0.028865234941755982
4.6000000000000005,0.028875108902949382
4.7,0.028885106524939388
4.800000000000001,0.028895219456185593
4.9,0.02890543897789206
5.0,0.028915756000183538
5.1000000000000005,0.028926161056657233
5.2,0.02893664430311161
5.300000000000001,0.028947195512632397
5.4,0.02895780407434178
5.5,0.028968458991849327
5.6000000000000005,0.028979148882021362
5.7,0.02898986197429101
5.800000000000001,0.029000586111363646
5.9,0.029011308749926863
6.0,0.02902201696221651
6.1000000000000005,0.02903269743839573
6.2,0.02904333648932881
6.300000000000001,0.029053920050061022
6.4,0.029064433684988986
6.5,0.029074862591460485
6.6000000000000005,0.02908519160667635
6.7,0.029095405213420956
6.800000000000001,0.029105487547493803
6.9,0.02911542240515649
7.0,0.02912519325163464
7.1000000000000005,0.02913478323071632
7.2,0.02914417517376208
7.300000000000001,0.02915335161040616
7.4,0.029162294779931597
7.5,0.02917098664269177
7.6,0.029179408892193715
7.7,0.029187542968794063
7.800000000000001,0.029195370072122112
7.9,0.029202871176084017
8.0,0.029210027043054854
8.1,0.029216818239263104
8.200000000000001,0.029223225149924207
8.3,0.02922922799619049
8.4,0.02923480685107025
8.5,0.029239941657000758
8.6,0.02924461224290735
8.700000000000001,0.02924879834286463
8.8,0.02925247961310964
8.9,0.02925563565177619
9.0,0.029258246017292416
9.1,0.029260290247538553
9.2,0.02926174787956253
9.3,0.029262598469335918
9.4,0.02926282161091597
9.5,0.029262396957804727
9.6,0.029261304241765148
9.7,0.029259523294326944
9.8,0.02925703406661281
9.9,0.029253816649580724
10.0,0.029249851295455653
10.1,0.029245118437001498
10.2,0.029239598709074492
10.3,0.02923327296836975
10.4,0.029226122314065104
10.5,0.02921812810767034
10.6,0.02920927199321305
10.7,0.029199535917556852
10.8,0.02918890214933197
10.9,0.029177353298334784
11.0,0.029164872335739576
11.1,0.029151442611266436
11.2,0.029137047873482792
11.3,0.029121672286541125
11.4,0.029105300448937915
11.5,0.02908791741065724
11.6,0.02906950868984982
11.7,0.02905006029020401
11.8,0.029029558716466168
11.9,0.029007990989826548
12.0,0.028985344664058527
12.1,0.028961607839188643
12.2,0.028936769176033005
12.3,0.028910817909775597
12.4,0.028883743862506462
12.5,0.028855537456070484
12.6,0.028826189723482748
12.7,0.028795692320185452
12.8,0.028764037534658782
12.9,0.0287312182979567
13.0,0.028697228193437167
13.1,0.02866206146454087
13.2,0.0286257130234926
13.3,0.02858817845787987
13.4,0.02854945403730904
13.5,0.0285095367192718
13.6,0.028468424154106255
13.7,0.028426114689373613
13.8,0.02838260737369144
13.9,0.028337901959539794
14.0,0.028291998905262905
14.1,0.028244899377219784
14.2,0.028196605249958547
14.3,0.02814711910651894
14.4,0.02809644423788989
14.5,0.028044584641589543
14.6,0.027991545019512922
14.7,0.02793733077539367
14.8,0.027881948011340404
14.9,0.027825403523397147
15.0,0.02776770479683775
15.1,0.027708860001094075
15.2,0.027648877982959032
15.3,0.027587768260053817
15.4,0.027525541013224415
15.5,0.027462207078616553
15.6,0.02739777793874851
15.7,0.02733226571312311
15.8,0.027265683148226128
15.9,0.027198043606942203
16.0,0.027129361057666352
16.1,0.027059650062155226
16.2,0.02698892576327267
16.3,0.026917203872554227
16.400000000000002,0.02684450065653348
16.5,0.02677083292285646
16.6,0.02669621800601287
16.7,0.026620673752483344
16.8,0.02654421850559458
16.900000000000002,0.026466871089324422
17.0,0.026388650792632654
17.1,0.026309577352655808
17.2,0.026229670937748327
17.3,0.02614895213005158
17.400000000000002,0.026067441908002385
17.5,0.02598516162813099
17.6,0.02590213300655727
17.7,0.025818378100774128
17.8,0.025733919290470513
17.900000000000002,0.025648779258051146
18.0,0.025562980969708875
18.1,0.025476547655319887
18.2,0.025389502789005904
18.3,0.02530187006868342
18.4,0.025213673396189226
18.5,0.02512493685663809
18.6,0.02503568469821745
18.7,0.024945941311401598
18.8,0.024855731208524967
18.9,0.024765079002843103
19.0,0.02467400938792958
19.1,0.02458254711674996
19.200000000000003,0.02449071698119937
19.3,0.024398543790775558
19.4,0.024306052352604288
19.5,0.02421326745011881
19.6,0.024120213822845536
19.700000000000003,0.0240269161457704
19.8,0.02393339900914217
19.9,0.023839686897958012
20.0,0.023745804172276487
20.1,0.02365177504697762
20.200000000000003,0.0235576235721775
20.3,0.02346337361395771
20.4,0.023369048834856836
20.5,0.02327467267475102
20.6,0.023180268332582743
20.700000000000003,0.023085858747655976
20.8,0.0229914665814032
20.9,0.022897114199757162
21.0,0.022802823655639324
21.1,0.02270861667168673
21.200000000000003,0.022614514623861534
21.3,0.022520538524639713
21.4,0.02242670900757065
21.5,0.022333046311299155
21.6,0.022239570264725943
21.700000000000003,0.022146300272412597
21.8,0.022053255300153205
21.9,0.021960453861647244
22.0,0.02186791400495576
22.1,0.02177565329999244
22.200000000000003,0.021683688826281772
22.3,0.021592037161361318
22.4,0.02150071436957011
22.5,0.021409735991640953
22.6,0.021319117034717238
22.700000000000003,0.021228871962530267
22.8,0.02113901468719942
22.9,0.02104955856036647
23.0,0.02096051636587786
23.1,0.020871900312799462
23.200000000000003,0.02078372202876573
23.3,0.020695992554036972
23.4,0.02060872233660416
23.5,0.020521921227553877
23.6,0.020435598477024242
23.700000000000003,0.020349762730799095
23.8,0.020264422027848297
23.9,0.020179583798019613
24.0,0.020095254861213316
24.1,0.02001144142578638
24.200000000000003,0.01992814908913496
24.3,0.01984538283777444
24.4,0.019763147049045138
24.5,0.019681445491977163
24.6,0.019600281330942514
24.700000000000003,0.019519657127681094
24.8,0.019439574845603425
24.9,0.019360035853701513
25.0,0.019281040931794925
25.1,0.019202590275692308
25.200000000000003,0.019124683503945517
25.3,0.019047319663740375
25.4,0.018970497238692735
25.5,0.01889421415697301
25.6,0.018818467799263307
25.700000000000003,0.018743255007521283
25.8,0.01866857209549277
25.9,0.018594414857745656
26.0,0.018520778580869944
26.1,0.018447658054437578
26.200000000000003,0.018375047582219344
26.3,0.01830294099464822
26.4,0.018231331661264682
26.5,0.018160212503297482
26.6,0.01808957600759698
26.700000000000003,0.018019414239957208
26.8,0.01794971885932675
26.9,0.01788048113292733
27.0,0.017811691950180807
27.1,0.017743341838658857
27.200000000000003,0.01767542097948606
27.3,0.01760791922314822
27.4,0.017540826105895642
27.5,0.017474130865412597
27.6,0.017407822458442877
27.700000000000003,0.017341889576997793
27.8,0.01727632066524875
27.9,0.01721110393762091
28.0,0.017146227395154357
28.1,0.017081678843966063
28.200000000000003,0.01701744591196202
28.3,0.01695351606765892
28.4,0.016889876636601315
28.5,0.016826514820461068
28.6,0.01676341771431936
28.700000000000003,0.016700572324491278
28.8,0.01663796558648612
28.9,0.016575584382996368
29.0,0.01651341556134555
29.1,0.016451445950900444
29.200000000000003,0.016389662381907453
29.3,0.016328051700868026
29.4,0.01626660078987458
29.5,0.016205296582188222
29.6,0.016144126080452396
29.700000000000003,0.01608307637198965
29.8,0.01602213464618105
29.9,0.015961288210856704
30.0,0.015900524507783023
30.1,0.015839831128463017
30.200000000000003,0.01577919582959527
30.3,0.015718606548103316
30.4,0.015658051415659208
30.5,0.015597518773480869
30.6,0.015536997185895476
30.700000000000003,0.015476475453979984
30.8,0.015415942629250619
30.9,0.015355388025298141
31.0,0.015294801231776645
31.1,0.015234172124763107
31.200000000000003,0.015173490879114095
31.3,0.015112747978843979
31.4,0.015051934228196454
31.5,0.014991040761172534
31.6,0.014930059051157747
31.700000000000003,0.014868980920047748
31.8,0.014807798546563495
31.9,0.014746504474040512
32.0,0.014685091618034255
32.1,0.014623553273412823
32.2,0.014561883119714954
32.300000000000004,0.014500075228176841
32.4,0.014438124066043365
32.5,0.014376024501675836
32.6,0.014313771807775582
32.7,0.014251361666408542
32.800000000000004,0.014188790170884896
32.9,0.014126053827892051
33.0,0.01406314956042297
33.1,0.014000074708101969
33.2,0.01393682702859952
33.300000000000004,0.013873404697191736
33.4,0.013809806306448274
33.5,0.013746030865951523
33.6,0.013682077800041426
33.7,0.01361794694626978
33.800000000000004,0.013553638552606112
33.9,0.013489153274757268
34.0,0.013424492172033831
34.1,0.013359656703884728
34.2,0.013294648724650535
34.300000000000004,0.013229470479875036
34.4,0.013164124598547653
34.5,0.013098614089836608
34.6,0.013032942334136726
34.7,0.012967113077915796
34.800000000000004,0.012901130425921324
34.9,0.012834998833445497
35.0,0.012768723098168292
35.1,0.012702308352049425
35.2,0.01263576005203131
35.300000000000004,0.012569083971144071
35.4,0.012502286189258721
35.5,0.012435373082884272
35.6,0.012368351314915297
35.7,0.012301227824958542
35.800000000000004,0.01223400981773813
35.9,0.012166704752873406
36.0,0.01209932033388072
36.1,0.012031864495598706
36.2,0.011964345394187467
36.3,0.011896771394338191
36.4,0.011829151057834443
36.5,0.011761493131507194
36.6,0.0116938065346617
36.7,0.011626100347589388
36.8,0.0115583837983012
36.9,0.011490666250503889
37.0,0.011422957191792354
37.1,0.011355266219877124
37.2,0.011287603030782923
37.3,0.01121997740659008
37.4,0.011152399202212315
37.5,0.011084878333405249
37.6,0.011017424764338025
37.7,0.010950048494645497
37.8,0.01088275954790693
37.9,0.010815567959381177
38.0,0.010748483763279868
38.1,0.010681516981600938
38.2,0.010614677611846882
38.3,0.01054797561576244
38.400000000000006,0.010481420907466454
38.5,0.010415023342662384
38.6,0.010348792706948991
38.7,0.010282738705642626
38.8,0.010216870952437672
38.900000000000006,0.010151198959923146
39.0,0.010085732127932479
39.1,0.010020479735492312
39.2,0.009955450929852503
39.3,0.00989065471711038
39.400000000000006,0.009826099954154439
39.5,0.00976179533864453
39.6,0.009697749401543424
39.7,0.009633970497939376
39.8,0.009570466800162193
39.900000000000006,0.009507246289228442
40.0,0.009444316748366386
40.1,0.009381685755727896
40.2,0.009319360677771144
40.3,0.009257348663131769
40.400000000000006,0.009195656636690658
40.5,0.00913429129395963
40.6,0.00907325909568103
40.7,0.009012566263258843
40.8,0.008952218773914698
40.900000000000006,0.008892222356683126
41.0,0.008832582488360712
41.1,0.00877330439003138
41.2,0.008714393024132242
41.3,0.008655853091208367
41.400000000000006,0.008597689027716866
41.5,0.008539905003797772
41.6,0.008482504921384347
41.7,0.00842549241259265
41.8,0.008368870838925856
41.900000000000006,0.0083126432901462
42.0,0.008256812583798363
42.1,0.008201381264779378
42.2,0.008146351606047549
42.3,0.008091725608384816
42.400000000000006,0.008037505001498678
42.5,0.007983691244648003
