Target,veq - vsini (km/s),veq - vsini +/- 1sigma,veq - vsini +/- 2sigma
J0412,2.287605276,1.6915486452819506,3.383097290563901
J0420,5.178823120000001,8.313496427854261,16.626992855708522
J0433,-3.271652810000001,3.957753653289905,7.91550730657981
J0434,-1.1262162340000001,1.4690225899418479,2.9380451798836957
J0436,1.9569632999999982,1.6972753024887322,3.3945506049774643
J1100,11.0471712,3.0128228766153433,6.025645753230687
J1608,5.462694430000001,2.406745524,4.813491048
AA Tau,3.1803757500000014,10.16831465900658,20.33662931801316
AS 209,1.5436243699999999,2.188808832497951,4.377617664995902
BP Tau,0.6464577689999995,1.2946464479736042,2.5892928959472084
CI Tau,-0.7829334790000004,1.7237622664282168,3.4475245328564337
CIDA-7,-0.2512039200000018,1.7480346002091345,3.496069200418269
CR Cha,13.00723901,9.723444833072511,19.446889666145022
CX Tau,1.1523561099999995,3.7852889552135465,7.570577910427093
DE Tau,4.246718026,2.4972493457732834,4.994498691546567
DN Tau,17.757474170000002,5.068942984450294,10.137885968900587
DoAr 25,-1.8047079000000004,1.7333481106507935,3.466696221301587
DoAr 44,10.720370509999999,4.770553008509831,9.541106017019661
EX Lup,3.6907655999999998,2.2173894378911783,4.4347788757823565
Elias 2-24,15.25262558,2.21193671980158,4.42387343960316
FP Tau,0.7121432700000021,5.62056568057613,11.24113136115226
FT Tau,2.3852566400000015,1.260176071304787,2.520352142609574
GM Aur,-1.3874181700000001,2.2661634222022817,4.5323268444045635
GW Lup,8.528596319999998,3.14840889,6.29681778
IM Lup,0.8647696599999986,2.835340071307075,5.67068014261415
IP Tau,2.6970344199999996,1.2196467678361325,2.439293535672265
IQ Tau,4.041098030000001,1.603392798071283,3.206785596142566
LkCa 15,-0.6318918599999996,2.5279116652375677,5.055823330475135
MHO 6,4.990755310000001,2.295203803693643,4.590407607387286
MP Mus,6.985060239999999,3.70587714936951,7.41175429873902
MY Lup,3.1431370799999954,6.1198261247117225,12.239652249423445
PDS 111,9.178965980000001,3.0517046990445897,6.1034093980891795
PDS 70,3.1850791700000016,2.3777336123584596,4.755467224716919
RU Lup,16.283081012,4.411495609122921,8.822991218245843
RX J1615,-1.5630827699999994,2.784452171061265,5.56890434212253
RX J1842,-0.6426482900000003,4.255351878120383,8.510703756240765
RX J1852,1.7517756500000026,5.028202305582626,10.056404611165252
RY Lup,0.23668289999999814,4.527351011966707,9.054702023933414
SU Aur,2.8739443699999967,11.372144462161474,22.744288924322948
SY Cha,-0.08741513999999917,2.4476172448123537,4.895234489624707
Sz 114,29.21909189,6.52331351,13.04662702
Sz 73,5.890533529999999,8.518390635464991,17.036781270929982
Sz 90,0.0010627999999996973,1.412354586,2.824709172
T Cha,1.114235960000002,5.008869947255336,10.017739894510672
TW Hya,10.231468281000001,1.9419007135838013,3.8838014271676027
V1094 Sco,4.58566729,8.84082215850948,17.68164431701896
V836 Tau,-1.2477188200000011,1.9440669874711647,3.8881339749423294
WSB 52,-3.164995619999999,1.2897536951118462,2.5795073902236925
WSB 63,-2.6816287480000005,2.323629576990691,4.647259153981382
