a Spectral Type,a Deltai (deg),a Deltai +Unc,a Deltai -Unc,b Mstar (Msun),b Mstar +Unc,b Mstar -Unc,b Deltai (deg),b Deltai +Unc,b Deltai -Unc,c Teff (K),c Teff +Unc,c Teff -Unc,c Deltai (deg),c Deltai +Unc,c Deltai -Unc,d Rstar (Rsun),d Rstar +Unc,d Rstar -Unc,d Deltai (deg),d Deltai +Unc,d Deltai -Unc,e Prot (d),e Prot +Unc,e Prot -Unc,e Deltai (deg),e Deltai +Unc,e Deltai -Unc,f vsini (km/s),f vsini +Unc,f vsini -Unc,f Deltai (deg),f Deltai +Unc,f Deltai -Unc,g idisk (deg),g idisk +Unc,g idisk -Unc,g Deltai (deg),g Deltai +Unc,g Deltai -Unc,h istar (deg),h istar +Unc,h istar -Unc,h Deltai (deg),h Deltai +Unc,h Deltai -Unc
5.43,34.2,19.49423848,12.70800179,0.377,0.377,0.377,34.2,19.49423848,12.70800179,3337.246846,3.292737913,3.292737913,34.2,19.49423848,12.70800179,0.987,0.17237214,0.17237214,34.2,19.49423848,12.70800179,5.719756098,0.212040544,0.212040544,34.2,19.49423848,12.70800179,6.442666667,0.657230807,0.657230807,34.2,19.49423848,12.70800179,15.84,0.76,0.76,34.2,19.49423848,12.70800179,48.21,10.77699541,21.38064853,34.2,19.49423848,12.70800179
5.525,0.2,30.49246058,0.2,0.247257308,0.012584702,0.012584702,0.2,30.49246058,0.2,3083.268184,32.08894716,32.08894716,0.2,30.49246058,0.2,0.858,0.365147915,0.365147915,0.2,30.49246058,0.2,2.24,0.084520013,0.084520013,0.2,30.49246058,0.2,14.2,0.75,0.75,0.2,30.49246058,0.2,38.25,0.25,0.25,0.2,30.49246058,0.2,47.29,11.21400604,29.75922721,0.2,30.49246058,0.2
5.52,32.1,0.201002604,21.08555141,0.13030303,0.034815531,0.034815531,32.1,0.201002604,21.08555141,3142.546947,4.29226991,4.29226991,32.1,0.201002604,21.08555141,1.475,0.446850087,0.446850087,32.1,0.201002604,21.08555141,5.876692308,0.220570041,0.220570041,32.1,0.201002604,21.08555141,15.97,0.7985,0.7985,32.1,0.201002604,21.08555141,57.565,0.065,0.065,32.1,0.201002604,21.08555141,90.0,21.75312253,-2.92e-05,32.1,0.201002604,21.08555141
5.43,0.2,13.79762224,0.2,0.372,0.101823376,0.101823376,0.2,13.79762224,0.2,3293.534632,3.83569764,3.83569764,0.2,13.79762224,0.2,0.901,0.157352885,0.157352885,0.2,13.79762224,0.2,6.016371134,0.24445502,0.24445502,0.2,13.79762224,0.2,8.702885,0.558904271,0.558904271,0.2,13.79762224,0.2,68.54,0.23,0.23,0.2,13.79762224,0.2,90.0,18.92652219,-2.53e-05,0.2,13.79762224,0.2
5.27,7.1,13.98814399,7.1,0.535,0.06363961,0.06363961,7.1,13.98814399,7.1,3592.053734,85.67183878,85.67183878,7.1,13.98814399,7.1,0.983,0.076164689,0.076164689,7.1,13.98814399,7.1,2.71,0.063850984,0.063850984,7.1,13.98814399,7.1,16.39457,0.8197285,0.8197285,7.1,13.98814399,7.1,53.42,1.45,1.45,7.1,13.98814399,7.1,63.58,8.394980691,15.06665163,7.1,13.98814399,7.1
5.4,15.0,7.322977575,5.204162916,0.315032826,0.032036314,0.032036314,15.0,7.322977575,5.204162916,3340.914424,64.50721085,64.50721085,15.0,7.322977575,5.204162916,0.907,0.15840074,0.15840074,15.0,7.322977575,5.204162916,2.79,0.073270073,0.073270073,15.0,7.322977575,5.204162916,5.4,0.8,0.8,15.0,7.322977575,5.204162916,4.395,3.075,3.075,15.0,7.322977575,5.204162916,19.6,4.536706442,6.457004581,15.0,7.322977575,5.204162916
4.2,45.5,13.24938839,12.41399344,1.44245283,0.087415728,0.087415728,45.5,13.24938839,12.41399344,4856.71782,53.18246355,53.18246355,45.5,13.24938839,12.41399344,1.661,0.290081179,0.290081179,45.5,13.24938839,12.41399344,6.242028874,0.238445056,0.238445056,45.5,13.24938839,12.41399344,8.0,0.0,0.0,45.5,13.24938839,12.41399344,72.46,0.64,0.64,45.5,13.24938839,12.41399344,27.99,14.46624099,11.18097962,45.5,13.24938839,12.41399344
4.7,2.3,19.38334937,2.3,0.624090175,0.042421714,0.042421714,2.3,19.38334937,2.3,3879.855887,172.8753382,172.8753382,2.3,19.38334937,2.3,2.4,1.644210984,1.644210984,2.3,19.38334937,2.3,8.199788362,0.34376099,0.34376099,2.3,19.38334937,2.3,11.62763523,0.304109326,0.304109326,2.3,19.38334937,2.3,59.1,0.3,0.3,2.3,19.38334937,2.3,51.79,11.28800137,32.07662861,2.3,19.38334937,2.3
4.4,26.1,20.00799415,10.03479547,1.102281468,0.089690892,0.089690892,26.1,20.00799415,10.03479547,4118.801339,87.30849287,87.30849287,26.1,20.00799415,10.03479547,2.011,0.351206051,0.351206051,26.1,20.00799415,10.03479547,8.515,0.387981986,0.387981986,26.1,20.00799415,10.03479547,10.40493505,0.374236986,0.374236986,26.1,20.00799415,10.03479547,34.97,0.13,0.13,26.1,20.00799415,10.03479547,60.68,9.481979416,20.56045044,26.1,20.00799415,10.03479547
4.7,29.1,19.36113455,5.648978844,0.65990261,0.055406561,0.055406561,29.1,19.36113455,5.648978844,3843.124499,14.19622922,14.19622922,29.1,19.36113455,5.648978844,1.41,0.171294162,0.171294162,29.1,19.36113455,5.648978844,7.344095517,0.286118097,0.286118097,29.1,19.36113455,5.648978844,9.066889711,0.374753285,0.374753285,29.1,19.36113455,5.648978844,38.2,0.5,0.5,29.1,19.36113455,5.648978844,69.23,7.729992235,17.26669809,29.1,19.36113455,5.648978844
4.7,38.2,1.661030659,18.60106278,0.902691919,0.019086849,0.019086849,38.2,1.661030659,18.60106278,4049.73706,74.29054961,74.29054961,38.2,1.661030659,18.60106278,1.679,0.293224744,0.293224744,38.2,1.661030659,18.60106278,9.004990518,0.413509218,0.413509218,38.2,1.661030659,18.60106278,10.21605796,0.264033729,0.264033729,38.2,1.661030659,18.60106278,49.985,0.115,0.115,38.2,1.661030659,18.60106278,90.0,20.21877163,-2.76e-05,38.2,1.661030659,18.60106278
5.475,54.7,3.621992905,13.55235083,0.509807315,0.017906907,0.017906907,54.7,3.621992905,13.55235083,2997.400412,77.91076023,77.91076023,54.7,3.621992905,13.55235083,0.706,0.054095623,0.054095623,54.7,3.621992905,13.55235083,1.895,0.024161251,0.024161251,54.7,3.621992905,13.55235083,19.1,0.955,0.955,54.7,3.621992905,13.55235083,31.36,0.29,0.29,54.7,3.621992905,13.55235083,90.0,17.05813048,-2.38e-05,54.7,3.621992905,13.55235083
